model,prompt_id,run_id,title,claimed_affiliation,resolved_status
qwen2.5:3b,VIS_PAPERS,imp01-s2,Fast and Robust Algorithms for Image Segmentation with Application to Face Detection,Kyoto University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,SVM with Kernels Based on Local Descriptors,Academia Sinica,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,Learning to Classify Images with an Adaptive Kernel Machine,Academia Sinica,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Object Recognition Meets Object Localization,Microsoft,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Histograms of Oriented Gradients for Human Detection and Object Recognition,"Stanford University, Stanford",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Combining Local Features for Face Detection and Recognition under Variability in Pose and Illumination,"CMU, CMU",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Object Recognition Using Local Affine and Projective Structural Descriptors,"INRIA, INRIA",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Learning Generative Models from Few Training Samples: An Unusual Approach,"MIT, MIT",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Probabilistic Boosting Networks for Tracking Multiple Objects in Video Sequences,"University of Washington, University of Washington",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Support Vector Machines for Multi-class Pattern Recognition: A Comparative Study,"University of Maryland, College Park, University of Maryland",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Harris and Shi-Kass-Badek Algorithms for Edge Localization: Experimental Analysis and New Variations on Two Classic Papers,"University of Texas, Austin",not_found
qwen2.5:3b,VIS_PAPERS,imp01-s3,Re-weighted Regression-based Detection for Tracking,"MIT, MIT",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,An Empirical and Theoretical Comparison of Multiclass Boosting Algorithms,"University of California, Santa Cruz, University of California",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Hierarchical Boosting for Non-negative Matrix Factorisation and Data Decomposition,"Uppsala University, MIT",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Visual Object Detection Using Hidden Support Vector Machines and Robust Statistics,"INRIA, INRIA",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Learning from Labeled and Unlabeled Data in Computer Vision: Towards a New Algorithmic Framework,"University of Illinois, Urbana-Champaign, University of Illinois",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Semi-Supervised Learning with Probabilistic Kernels and Multi-Class Support Vector Machines,"Microsoft, Microsoft",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s3,Face Discovery: Learning from Images that Show Many People with Unknown Names,"MIT, MIT",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s4,Single-image room scale egomotion from encoder-decoder recurrent networks,DTU Compute,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s4,Facial landmark detection by deep generative adversarial networks,National University of Singapore,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s4,Semantic image mosaicking via depth fusion and feature blending,University of Southern California,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s4,Single image place and outfit recognition via joint c3d and crn networks,Dartmouth College,not_found
qwen2.5:3b,VIS_PAPERS,imp01-s4,Semantic image segmentation with depth supervision via a joint autoencoder model,University of Texas at Austin,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s4,3D human parsing using a multi-stage 3D convolutional neural network with depth supervision,Peking University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s4,Facial expression recognition by deep neural networks and a bagging classifier,University of Texas at Austin,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s4,Deep semantic embedding and bag-of-trace similarity for trajectory similarity matching on the graph,Peking University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s4,Adversarial learning for visual feature representation and recognition,Microsoft Research Asia,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s4,Learning to render a person sitting from front by cross-view texture alignment,Microsoft Research Asia,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s4,Efficient cross-view texture alignment for single-view 3D facial shape estimation from one frontal face image and a side profile view image,Microsoft Research Asia,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,SVM+ for Visual Object Recognition: A Case Study on Flicker30K,"Max-Planck-Institut fuer Informatik, Saarbruecken, Germany",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,Boosting the Recognition of Generic Articulated Objects,Microsoft,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,Object Recognition with Intrinsic Ordering of Parts: An Axiomatic Approach,Microsoft Research,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,The Recognition Illusion in Face Verification: Why and How to Overcome It - A Detailed Case Study on FERET Face Database,"University College London, UK",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,Object Recognition in the Wild: Benchmarking Image Retrieval Methods on CIFAR and Imagenet,University of Oxford,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,Learning Features from Human Visual Cues,Radboud University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,Efficient Image Recognition through Hierarchical Features Learning and Memory Optimization of a Deep Network,MIT,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,Unsupervised Visual Feature Learning through Clustering and Association in Deep Neural Networks,"Radboud University, Nijmegen",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,An Atlas of Human Gait Recognition,"Radboud University, Nijmegen",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,Visual Search on Google Images,Purdue University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,Simplified LBP: A Robust Structural Light Blob Detector for 3D Shape Analysis,"Aalto University, Finland",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,An Image is Worth 16x16 Words: Efficient Representation of Deep Features in Subspace by Visual Word Bagging for Visual Search,"Aalto University, Finland",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,Learning to Visualize: A Dataset for Learning Supervised Dimensionality Reduction in Image Search,"Aalto University, Finland",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s5,Visual Dictionary Learning and Recognition via Efficient Sparse Coding,"Aalto University, Finland",low_confidence
