model,provider,prompt_id,run_id,niche,source,rank,institution_raw,justification,family,framing,scope,institution_normalized,match_score,baseline_rank,rank_difference_vs_baseline
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,se,mention,6,University of Illinois Urbana-Champaign (UIUC),"Strong tradition in programming languages and software testing. Darko Marinov's work on test flakiness and regression testing is widely cited. Tao Xie (now at Peking University) built much of his reputation here. Consistent presence at ICSE, FSE, ISSTA.",rank,neutral,open,Carnegie Mellon University,85.5,1,5
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,se,mention,7,Delft University of Technology (TU Delft),"Europe's most visible SE research group. Arie van Deursen, Maurício Aniche, and Andy Zaidman lead research in software testing, technical debt, and AI for SE. Strong empirical SE output and highly active at ICSE, MSR, and SANER.",rank,neutral,open,Carnegie Mellon University,85.5,1,6
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,se,mention,8,University of Texas at Austin,"Isil Dillig leads highly influential work in program analysis, program synthesis, and formal verification. Strong PL/SE intersection research with consistent top-venue publications. Growing reputation in AI-assisted programming.",rank,neutral,open,University of Texas at Austin,100.0,32,-24
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,se,mention,9,National University of Singapore (NUS),"Asia's leading SE research institution. Abhik Roychoudhury's work on automated debugging and program repair is globally recognized. Strong output at ICSE, FSE, and PLDI. Growing influence in AI for SE and software security.",rank,neutral,open,Purdue University,85.5,4,5
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,se,mention,11,University of Melbourne,"Tim Menzies (formerly here, now NC State) and ongoing faculty produce strong empirical SE and AI for SE research. Australia's top SE institution with consistent ICSE and FSE publications and growing work in search-based SE.",rank,neutral,open,Univ. of Illinois at Urbana-Champaign,85.5,3,8
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,se,mention,12,Peking University,China's leading SE research institution. Tao Xie leads highly productive research in software testing and AI for SE. Strong government funding and rapidly growing publication volume at top venues. Increasingly influential globally.,rank,neutral,open,Carnegie Mellon University,85.5,1,11
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,se,mention,13,University of Waterloo,"Strong in empirical SE, mining software repositories, and API usability. Mei Nagappan and Shane McIntosh produce well-cited work. Canada's top SE research institution with consistent presence at MSR, ICSE, and EMSE.",rank,neutral,open,Univ. of Illinois at Urbana-Champaign,85.5,3,10
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,se,mention,14,Zhejiang University,"One of China's fastest-rising SE institutions with strong output in software testing, program analysis, and AI for code. Increasingly visible at ICSE, FSE, and ASE. Benefits from substantial national research funding.",rank,neutral,open,North Carolina State University,85.5,5,9
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,se,mention,15,University College London (UCL),"Mark Harman pioneered search-based software engineering (SBSE) here, a field now widely adopted. Strong in automated testing, program repair, and empirical SE. Consistent European presence at top SE venues, though some key figures have moved to industry.",rank,neutral,open,Purdue University,85.5,4,11
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,se,mention,1,Carnegie Mellon University,"Home of the SEI, which produced foundational work including CMMI, the capability maturity model, and decades of influential SE research. Faculty such as David Garlan, William Scherlis, and Brad Myers have shaped software architecture, HCI-SE intersection, and program analysis. Consistently top-ranked in SE publication venues (ICSE, FSE, ASE, TOSEM).",rank,debiased,open,Carnegie Mellon University,100.0,1,0
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,se,mention,2,MIT,"Strong contributions in program synthesis, formal verification, model checking (Alloy/Daniel Jackson), and software correctness. Armando Solar-Lezama's work on program synthesis has been highly cited. CSAIL produces consistent output at top SE venues.",rank,debiased,open,Massachusetts Inst. of Technology,100.0,25,-23
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,se,mention,3,"University of California, Berkeley","Influential in distributed systems software, testing, and program analysis. Dawn Song's work on security and software analysis, and contributions to automated bug finding and fuzzing. Strong publication record at ICSE, PLDI, and SOSP.",rank,debiased,open,Purdue University,85.5,4,-1
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,se,mention,5,Delft University of Technology,"One of Europe's most productive SE research groups. Arie van Deursen, Maurício Aniche, and Andy Zaidman have contributed heavily to software testing, technical debt, and empirical SE. Consistently high output at ICSE, FSE, MSR, and ICSME.",rank,debiased,open,Purdue University,85.5,4,1
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,se,mention,6,University of Illinois Urbana-Champaign,"Darko Marinov's work on test isolation and flaky tests is widely cited. Contributions to program analysis, concurrency testing, and mutation testing. Strong presence at ICSE, ISSTA, and PLDI.",rank,debiased,open,Univ. of Illinois at Urbana-Champaign,100.0,3,3
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,se,mention,7,University of Texas at Austin,"Isil Dillig's work on program analysis and synthesis, and Miryung Kim's earlier work on software evolution and change impact analysis have been highly influential. Strong empirical and formal SE output.",rank,debiased,open,University of Texas at Austin,100.0,32,-25
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,se,mention,9,University of Waterloo,"Strong tradition in software architecture, API usability, and empirical SE. Reid Holmes, Werner Dietl, and Patrick Lam have contributed to program analysis and developer tools. Consistent presence at top SE venues.",rank,debiased,open,Univ. of Illinois at Urbana-Champaign,85.5,3,6
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,se,mention,10,University of British Columbia,"Gail Murphy's work on developer cognition, task context, and IDE tooling has been highly influential. Julia Rubin and Ivan Beschastnikh have contributed to mobile SE and distributed systems testing. Strong empirical SE output.",rank,debiased,open,Purdue University,85.5,4,6
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,se,mention,11,Peking University,"One of China's leading SE research institutions with growing global impact. Contributions to program analysis, software testing, and automated debugging. Increasing presence at ICSE, FSE, and ASE over the past decade.",rank,debiased,open,Carnegie Mellon University,85.5,1,10
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,se,mention,12,University of Melbourne,"John Grundy, John Hosking, and colleagues have contributed to model-driven engineering, human aspects of SE, and software visualization. Australia's most productive SE research group with strong ICSE and JSS publication records.",rank,debiased,open,Univ. of Illinois at Urbana-Champaign,85.5,3,9
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,se,mention,13,Saarland University / CISPA Helmholtz Center,"Andreas Zeller's work on automated debugging, delta debugging, and fuzzing (The Fuzzing Book) is foundational. Gordon Fraser's contributions to test generation (EvoSuite) are widely used. Strong European SE research hub.",rank,debiased,open,Carnegie Mellon University,85.5,1,12
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,se,mention,15,University of Southern California,Barry Boehm's legacy work on COCOMO cost estimation and software process models remains foundational. Nenad Medvidovic's contributions to software architecture and mobile SE continue the tradition of strong empirical and architectural SE research.,rank,debiased,open,University of Southern California,100.0,7,8
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,1,Massachusetts Institute of Technology (MIT),"MIT CSAIL has produced foundational work in program analysis, formal verification, software synthesis, and programming languages. Researchers such as Armando Solar-Lezama (program synthesis), Martin Rinard (bug finding, fault tolerance), and Michael Ernst (invariant detection, type systems) have shaped core SE research areas. MIT consistently ranks at the top in citation impact and has produced numerous ACM/IEEE Fellows in SE-related fields.",rank,neutral,us,Univ. of California - Irvine,85.5,2,-1
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,2,Carnegie Mellon University (CMU),"CMU is arguably the birthplace of modern software engineering as a discipline, housing the Software Engineering Institute (SEI) which developed the Capability Maturity Model (CMM/CMMI). Researchers including David Garlan (software architecture), Brad Myers (programming environments), Jonathan Aldrich (type systems, ownership), and Claire Le Goues (automated program repair) have had enormous influence. CMU consistently produces top SE PhD graduates and has the highest concentration of SE-focused faculty.",rank,neutral,us,Carnegie Mellon University,95.0,1,1
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,3,"University of California, Berkeley","Berkeley has been central to programming languages, distributed systems software, and software security research. Researchers such as Koushik Sen (fuzzing, concolic testing, KLEE-related work), Dawn Song (software security), and Björn Hartmann (HCI and programming tools) have had major impact. Berkeley's influence on open-source software ecosystems and systems software is unmatched.",rank,neutral,us,Purdue University,85.5,4,-1
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,4,University of Washington,"UW has exceptional strength in programming languages and software engineering, with researchers like Michael Ernst (Daikon, type inference), Emina Torlak (Rosette, solver-aided programming), René Just (mutation testing), and Zachary Tatlock (verified compilers). The PLSE (Programming Languages and Software Engineering) group is one of the most productive in the country.",rank,neutral,us,University of Washington,100.0,32,-28
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,5,Stanford University,"Stanford has produced influential work in static analysis (Coverity originated here from Dawson Engler's research), software model checking, and more recently AI-assisted software engineering. Researchers like Alex Aiken (program analysis, type systems) and Dawson Engler (bug-finding tools) have had lasting industry impact. Stanford's proximity to Silicon Valley amplifies its research transfer.",rank,neutral,us,North Carolina State University,85.5,5,0
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,6,University of Illinois Urbana-Champaign (UIUC),"UIUC has long-standing strength in program analysis, testing, and formal methods. Researchers including Darko Marinov (test selection, mutation testing), Tao Xie (automated testing), Madhusudan Parthasarathy (formal verification), and Vikram Adve (LLVM co-creator) have had enormous influence. LLVM alone has reshaped compiler and software toolchain research globally.",rank,neutral,us,Carnegie Mellon University,85.5,1,5
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,7,Georgia Institute of Technology,"Georgia Tech has strong SE research in software testing, program repair, and empirical software engineering. Researchers like Alessandro Orso (dynamic analysis, tainting), Mary Jean Harrold (test coverage, regression testing), and Baishakhi Ray (AI for SE, bug detection) have contributed heavily to the field. Georgia Tech also hosts significant NSF-funded SE research centers.",rank,neutral,us,Georgia Institute of Technology,100.0,30,-23
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,8,University of Texas at Austin,"UT Austin has notable strength in formal methods, program synthesis, and software security. Researchers like Işıl Dillig (program analysis, synthesis), Swarat Chaudhuri (neurosymbolic programming, synthesis), and Don Batory (software product lines, feature models) have been highly influential. The UTOPIA group is a recognized leader in automated reasoning for software.",rank,neutral,us,University of Texas at Austin,100.0,32,-24
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,9,Columbia University,"Columbia has produced influential work in software testing, concurrency analysis, and software security. Researchers like Junfeng Yang (systems software reliability, OS testing) and Baishakhi Ray (who has been affiliated here) have contributed significantly. Columbia's location in New York also facilitates strong industry collaboration.",rank,neutral,us,Columbia University,100.0,20,-11
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,10,Purdue University,"Purdue has strong research in software security, program analysis, and software supply chain. Researchers like Xiangyu Zhang (dynamic slicing, provenance analysis) and Dongyan Xu (system security, software forensics) have been highly cited. CERIAS is one of the leading security research centers with significant software-focused work.",rank,neutral,us,Purdue University,100.0,4,6
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,11,"University of California, San Diego (UCSD)","UCSD has notable strength in programming languages, software verification, and type systems. Researchers like Ranjit Jhala (liquid types, software model checking) and Sorin Lerner (program analysis, refactoring) have been highly influential. Liquid Haskell and related type-system work originating here has had broad impact.",rank,neutral,us,Carnegie Mellon University,85.5,1,10
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,12,University of Michigan,"Michigan has contributed significantly to software testing, program repair, and empirical SE. Researchers like Westley Weimer (automated program repair, GenProg) have been foundational in the automated repair subfield. Michigan also has strong work in software reliability and human factors in software development.",rank,neutral,us,University of Michigan,100.0,32,-20
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,13,University of Southern California (USC),"USC ISI has a long history in software engineering research, including early work on software cost modeling (Barry Boehm's COCOMO), software architecture, and agent-based software. USC's Center for Systems and Software Engineering has been a consistent contributor to empirical SE and software process research.",rank,neutral,us,University of Southern California,95.0,7,6
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,14,North Carolina State University (NC State),"NC State has a strong empirical software engineering program. Researchers like Tim Menzies (mining software repositories, defect prediction) and Laurie Williams (agile methods, security testing) have been prolific and highly cited. NC State is particularly strong in data-driven and evidence-based SE research.",rank,neutral,us,North Carolina State University,95.0,5,9
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,se,mention,15,"University of California, Los Angeles (UCLA)","UCLA has contributed to software analysis, mobile software engineering, and program verification. Researchers like Miryung Kim (software evolution, refactoring, code change analysis) and Todd Millstein (programming languages, gradual typing) have had notable impact. UCLA's work on mobile app analysis and software evolution is particularly recognized.",rank,neutral,us,Carnegie Mellon University,85.5,1,14
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,1,Carnegie Mellon University,"Home of the SEI, which produced foundational work on the Capability Maturity Model (CMM/CMMI), software architecture, and formal methods. Long history of influential SE research.",salience,neutral,open,Carnegie Mellon University,100.0,1,0
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,2,MIT,"Research on program analysis, formal verification, software synthesis, and software reliability, including influential work on model checking and static analysis.",salience,neutral,open,Massachusetts Inst. of Technology,100.0,25,-23
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,3,"University of California, Berkeley","Influential in distributed systems software, programming languages, and software reliability. Historical contributions include BSD Unix and important SE methodologies.",salience,neutral,open,Purdue University,85.5,4,-1
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,6,Delft University of Technology,"Highly active European SE research group with strong output in empirical SE, testing, technical debt, and mining software repositories.",salience,neutral,open,Purdue University,85.5,4,2
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,7,University of Waterloo,"Strong research in software architecture, program comprehension, software maintenance, and empirical SE.",salience,neutral,open,Univ. of Illinois at Urbana-Champaign,85.5,3,4
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,8,University of British Columbia,"Known for research in software evolution, mining software repositories, and empirical software engineering.",salience,neutral,open,Purdue University,85.5,4,4
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,10,University of Texas at Austin,"Research in program synthesis, formal methods, software testing, and programming languages with SE implications.",salience,neutral,open,University of Texas at Austin,100.0,32,-22
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,11,University of Illinois Urbana-Champaign,"Contributions to program analysis, software testing, automated debugging, and software security.",salience,neutral,open,Univ. of Illinois at Urbana-Champaign,100.0,3,8
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,12,Purdue University,"Research in software testing, program analysis, and software security with notable faculty contributions to SE.",salience,neutral,open,Purdue University,100.0,4,8
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,13,University College London (UCL),"Known for search-based software engineering, automated testing, and empirical SE research.",salience,neutral,open,Purdue University,85.5,4,9
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,14,University of Alberta,"Active in software maintenance, program comprehension, and empirical software engineering.",salience,neutral,open,Univ. of Illinois at Urbana-Champaign,85.5,3,11
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,15,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),"One of the leading SE research groups in Latin America, with work on software reuse, product lines, and empirical SE.",salience,neutral,open,Carnegie Mellon University,85.5,1,14
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,16,University of Southern California,"Home of Barry Boehm's influential work on COCOMO cost estimation, software process models, and value-based software engineering.",salience,neutral,open,University of Southern California,100.0,7,9
claude-sonnet-4-6,anthropic,SE_SALIENCE,run01,se,mention,18,University of Maryland,"Research in software testing, program analysis, and software security, including influential work on model checking and static analysis tools.",salience,neutral,open,Univ. of Illinois at Urbana-Champaign,85.5,3,15
claude-sonnet-4-6,anthropic,VIS_RANK_A,run01,vision,mention,3,Stanford University,"Created ImageNet and the ImageNet Large Scale Visual Recognition Challenge (ILSVRC), which catalyzed the deep learning revolution in CV. Fei-Fei Li, Andrej Karpathy, Justin Johnson, and many other influential researchers trained or worked here. Continuous top-tier publication record.",rank,neutral,open,Stanford University,100.0,5,-2
claude-sonnet-4-6,anthropic,VIS_RANK_A,run01,vision,mention,4,Carnegie Mellon University (CMU),"One of the oldest and most productive CV research centers. Contributions span optical flow, face recognition, autonomous driving (NavLab), 3D scene understanding, and human pose estimation. Deva Ramanan, Martial Hebert, and many leading researchers are affiliated here.",rank,neutral,open,Carnegie Mellon University,95.0,1,3
claude-sonnet-4-6,anthropic,VIS_RANK_A,run01,vision,mention,6,University of Toronto,"Geoffrey Hinton's group produced AlexNet (Krizhevsky, Sutskever, Hinton 2012), the watershed moment for deep learning in CV. The Vector Institute continues to attract top CV talent. Hinton, though emeritus, remains the field's most cited figure.",rank,neutral,open,Univ. of Illinois at Urbana-Champaign,85.5,3,3
claude-sonnet-4-6,anthropic,VIS_RANK_A,run01,vision,mention,7,MIT,"Long history in CV from early work on edge detection and object recognition to modern contributions in scene understanding (Places dataset), adversarial examples, and interpretability. Antonio Torralba, William Freeman, and Phillip Isola are among prominent faculty.",rank,neutral,open,Massachusetts Inst. of Technology,100.0,6,1
claude-sonnet-4-6,anthropic,VIS_RANK_A,run01,vision,mention,8,UC Berkeley,"Home to influential work on object detection (R-CNN family by Girshick, Darrell et al.), semantic segmentation (FCN), generative models (pix2pix, CycleGAN), and reinforcement learning for vision. Trevor Darrell, Jitendra Malik, and Alexei Efros are key figures.",rank,neutral,open,Univ. of California - Berkeley,100.0,4,4
claude-sonnet-4-6,anthropic,VIS_RANK_A,run01,vision,mention,10,Oxford University,"VGG (Simonyan & Zisserman) produced VGGNet and foundational work on deep image recognition. Andrew Zisserman and Andrea Vedaldi have sustained Oxford's influence in video understanding, self-supervised learning, and 3D vision.",rank,neutral,open,Carnegie Mellon University,85.5,1,9
claude-sonnet-4-6,anthropic,VIS_RANK_A,run01,vision,mention,12,Tsinghua University,"Rapidly rising influence with contributions to Swin Transformer (co-authored with MSR Asia), video understanding, and large vision-language models. Represents the broader surge of Chinese academic CV research, often in close collaboration with industry labs.",rank,neutral,open,University of Central Florida,85.5,9,3
claude-sonnet-4-6,anthropic,VIS_RANK_A,run01,vision,mention,13,Chinese University of Hong Kong (CUHK),"MMLab under Xiaoou Tang and later Dahua Lin produced DeepID (face recognition), SRCNN (super-resolution), and the widely used OpenMMLab/MMDetection toolbox. Enormous influence on practical CV tooling and benchmarks.",rank,neutral,open,Stanford University,85.5,5,8
claude-sonnet-4-6,anthropic,VIS_RANK_A,run01,vision,mention,14,University of Washington,"Ali Farhadi, Hannaneh Hajishirzi, and others have contributed YOLO (Farhadi), visual question answering, and vision-language research. Strong connections to AI2 (Allen Institute for AI) amplify its output.",rank,neutral,open,University of Washington,100.0,22,-8
claude-sonnet-4-6,anthropic,VIS_RANK_B,run01,vision,mention,4,Stanford University,"Birthplace of ImageNet and the deep learning vision revolution (Fei-Fei Li). Continues to produce influential work in 3D vision, embodied AI, vision-language models, and dataset creation. Strong faculty and PhD pipeline.",rank,neutral,open,Stanford University,100.0,5,-1
claude-sonnet-4-6,anthropic,VIS_RANK_B,run01,vision,mention,5,Carnegie Mellon University (CMU),"One of the oldest and most respected CV programs. Strong in 3D vision, video understanding, autonomous driving perception, and generative models. Faculty include Deva Ramanan, Abhinav Gupta, and many others with high citation impact.",rank,neutral,open,Carnegie Mellon University,95.0,1,4
claude-sonnet-4-6,anthropic,VIS_RANK_B,run01,vision,mention,6,Massachusetts Institute of Technology (MIT),"Influential in scene understanding, visual reasoning, generative models (e.g., GAN-related work), and neuro-inspired vision. Antonio Torralba and others lead highly cited research programs. Strong cross-disciplinary vision work.",rank,neutral,open,Massachusetts Inst. of Technology,85.5,6,0
claude-sonnet-4-6,anthropic,VIS_RANK_B,run01,vision,mention,7,Tsinghua University,"Among the top CV institutions in China and globally. Produced Swin Transformer (in collaboration with Microsoft), and leads in efficient architectures, video understanding, and large vision models. Rapidly growing publication and citation impact.",rank,neutral,open,University of Central Florida,85.5,9,-2
claude-sonnet-4-6,anthropic,VIS_RANK_B,run01,vision,mention,8,"University of California, Berkeley (UC Berkeley)","Strong in generative models, robotic vision, video understanding, and vision-language alignment. Faculty include Trevor Darrell and Alexei Efros. BAIR consistently produces high-impact CV papers and open-source tools.",rank,neutral,open,Carnegie Mellon University,85.5,1,7
claude-sonnet-4-6,anthropic,VIS_RANK_B,run01,vision,mention,10,Peking University,"One of China's leading CV research centers with strong output in image/video compression, detection, segmentation, and vision transformers. Frequently appears at top CV venues and collaborates extensively with industry.",rank,neutral,open,Carnegie Mellon University,85.5,1,9
claude-sonnet-4-6,anthropic,VIS_RANK_B,run01,vision,mention,13,University of Oxford,"Home of VGGNet and pioneering deep CV work. Andrew Zisserman and Andrea Vedaldi continue to produce influential research in video understanding, self-supervised learning, and visual recognition. Strong European CV presence.",rank,neutral,open,Univ. of California - San Diego,85.5,2,11
claude-sonnet-4-6,anthropic,VIS_RANK_B,run01,vision,mention,14,Chinese Academy of Sciences (CAS),"Largest public research institution in China with substantial CV output in face recognition, object detection, remote sensing, and medical imaging. Produces a high volume of top-venue publications and has trained many leading researchers.",rank,neutral,open,University of Michigan,85.5,27,-13
claude-sonnet-4-6,anthropic,VIS_RANK_B,run01,vision,mention,15,University of Toronto,"Birthplace of AlexNet and modern deep learning for vision (Geoffrey Hinton, though now departed). The Vector Institute continues to attract top CV talent. Sanja Fidler and others lead active research in generative models, 3D vision, and autonomous driving.",rank,neutral,open,Univ. of Illinois at Urbana-Champaign,85.5,3,12
claude-sonnet-4-6,anthropic,VIS_RANK_DEBIAS,run01,vision,mention,4,Stanford University,"Birthplace of ImageNet (Fei-Fei Li), which catalyzed the deep learning revolution in vision. Ongoing strong output in 3D vision, video understanding, vision-language models, and embodied AI. Produces a disproportionate share of influential PhD graduates who go on to lead the field.",rank,debiased,open,Stanford University,100.0,5,-1
claude-sonnet-4-6,anthropic,VIS_RANK_DEBIAS,run01,vision,mention,5,Carnegie Mellon University (CMU),"Historically one of the deepest computer vision programs globally. Strong in optical flow, stereo, 3D reconstruction, video understanding, and autonomous driving perception. Deva Ramanan, Martial Hebert, and many others have produced highly cited work. Consistent top-tier publication record.",rank,debiased,open,Carnegie Mellon University,95.0,1,4
claude-sonnet-4-6,anthropic,VIS_RANK_DEBIAS,run01,vision,mention,6,"University of California, Berkeley","Contributions span object detection (R-CNN lineage with Ross Girshick), generative models for vision (GANs, diffusion), video prediction, and vision-language grounding. Trevor Darrell's group and collaborators have been central to modern detection and domain adaptation research.",rank,debiased,open,Stanford University,85.5,5,1
