model,prompt_id,run_id,niche,family,framing,scope,n_matched,top5_institution_share,spearman_vs_baseline,kendall_vs_baseline,top5_overlap_vs_baseline,mean_abs_rank_difference
gemini-3.1-pro-preview,VIS_RANK_US,run01,vision,rank,neutral,us,15,0.4,0.6901180964247982,0.4413674147523748,0.6,6.133333333333334
gemini-3.1-pro-preview,VIS_SALIENCE,run01,vision,salience,neutral,open,10,0.6,,,,
gemini-3.1-pro-preview,VIS_SOURCES_DET,run01,vision,sources,neutral,open,2,0.5,,,,
gpt-5.4,SE_RANK_A,run01,se,rank,neutral,open,10,0.9,0.1297498240269205,0.10226199851298272,0.6,7.4
gpt-5.4,SE_RANK_B,run01,se,rank,neutral,open,11,0.9090909090909091,0.004708816093480112,-0.020100756305184243,0.4,7.7272727272727275
gpt-5.4,SE_RANK_DEBIAS,run01,se,rank,debiased,open,11,0.9090909090909091,0.042379344841321,0.020100756305184243,0.4,5.7272727272727275
gpt-5.4,SE_RANK_US,run01,se,rank,neutral,us,15,0.6,0.18817690452478142,0.1534531872941642,0.6,10.733333333333333
gpt-5.4,SE_SALIENCE,run01,se,salience,neutral,open,12,0.75,,,,
gpt-5.4,SE_SOURCES_APR,run01,se,sources,neutral,open,10,0.4,,,,
gpt-5.4,VIS_RANK_A,run01,vision,rank,neutral,open,10,0.7,0.01846372364689991,0.06984302957695782,0.6,7.9
gpt-5.4,VIS_RANK_B,run01,vision,rank,neutral,open,9,0.7777777777777778,-0.2553769592276246,-0.1178511301977579,0.4,5.111111111111111
gpt-5.4,VIS_RANK_DEBIAS,run01,vision,rank,debiased,open,10,0.6,0.17073488132934914,0.15913201254311046,0.6,9.2
gpt-5.4,VIS_RANK_US,run01,vision,rank,neutral,us,15,0.4,0.5874112256775045,0.46098374429692485,0.6,7.133333333333334
gpt-5.4,VIS_SALIENCE,run01,vision,salience,neutral,open,13,0.6923076923076923,,,,
gpt-5.4,VIS_SOURCES_DET,run01,vision,sources,neutral,open,3,0.6666666666666666,,,,
qwen2.5:3b,SE_RANK_A,v2run01,se,rank,neutral,open,15,0.8,-0.06703602599731434,-0.02013128138929247,0.4,7.8
qwen2.5:3b,SE_RANK_B,v2run01,se,rank,neutral,open,15,0.7333333333333333,0.05288309221171582,0.04069784637782399,0.2,8.533333333333333
qwen2.5:3b,SE_RANK_DEBIAS,v2run01,se,rank,debiased,open,15,0.8,-0.29990189228700237,-0.1851640199545103,0.2,8.6
qwen2.5:3b,SE_RANK_US,v2run01,se,rank,neutral,us,15,0.6,0.10230977333386175,0.09207191237649852,0.2,10.933333333333334
qwen2.5:3b,SE_SALIENCE,v2run01,se,salience,neutral,open,10,0.8,,,,
qwen2.5:3b,VIS_RANK_A,v2run01,vision,rank,neutral,open,11,0.8181818181818182,-0.40202720570363654,-0.29502647161824747,0.2,8.181818181818182
qwen2.5:3b,VIS_RANK_B,v2run01,vision,rank,neutral,open,13,0.5384615384615384,-0.27147751835794065,-0.25179370573822,0.4,10.307692307692308
qwen2.5:3b,VIS_RANK_DEBIAS,v2run01,vision,rank,debiased,open,12,0.8333333333333334,0.08573397179448171,0.048911598804451846,0.4,9.25
qwen2.5:3b,VIS_RANK_US,v2run01,vision,rank,neutral,us,15,0.4,0.6296027429257386,0.47581786459109165,0.4,11.666666666666666
qwen2.5:3b,VIS_SALIENCE,v2run01,vision,salience,neutral,open,8,0.5,,,,
