model,provider,prompt_id,run_id,rank,acronym,full_name,justification
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,14,POPL,Principles of Programming Languages,The gold standard for the theoretical limits of what AI can synthesize or verify in software.
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,15,ICPC,International Conference on Program Comprehension,"Highly relevant for the 'understanding' part of AI-assisted development (e.g., AI-driven code explanation)."
google/gemma-4-31b-it:free,openrouter,P04_EXACT_SOURCES,final01,1,,,"The emergence of models like Codex and subsequent LLMs has demonstrated a capacity for zero-shot and few-shot code generation, as documented in the OpenAI Codex research and subsequent evaluations of models like GPT-4."
google/gemma-4-31b-it:free,openrouter,P04_EXACT_SOURCES,final01,2,,,These benchmarks are widely cited in the literature as the standard for measuring the functional correctness of generated code via unit tests.
google/gemma-4-31b-it:free,openrouter,P04_EXACT_SOURCES,final01,3,,,"Recent research and tool development (e.g., SWE-bench) focus on the ability of AI to resolve real-world GitHub issues by interacting with a software environment rather than just predicting a text completion."
google/gemma-4-31b-it:free,openrouter,P04_EXACT_SOURCES,final01,4,,,GitHub Copilot's deployment and subsequent empirical studies on developer velocity and code quality provide the basis for this shift.
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,1,,GitHub Copilot / OpenAI Codex,"The foundational catalyst for the current era of LLM-based code generation. While slightly older than 3 years, its evolution into Copilot X and Workspace defines the current state of developer tools."
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,2,,SWE-bench,"Established the gold standard for evaluating software engineering agents by requiring them to resolve real GitHub issues, moving beyond simple snippet generation to full-repository repair."
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,3,,Devin,"Represents the shift toward 'autonomous agents' capable of planning, executing, and debugging in a sandboxed environment, bridging the gap between code completion and full-cycle engineering."
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,4,,Code Llama / StarCoder2,"Crucial academic/open-source contributions that provided high-quality, permissively licensed base models for fine-tuning specialized SE tasks."
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,5,,DeepSeek-Coder,Demonstrated that specialized training on massive code corpora can rival or exceed general-purpose models (like GPT-4) in specific coding benchmarks.
google/gemma-4-31b-it:free,openrouter,P06_AREA_MAPPING,final01,1,,,"One of the most mature areas of AI4SE, transitioning from rule-based and search-based repair to LLM-driven code generation and refinement."
google/gemma-4-31b-it:free,openrouter,P06_AREA_MAPPING,final01,2,,,Currently the most active area due to the explosion of Copilot-style tools and the study of prompt engineering for code.
google/gemma-4-31b-it:free,openrouter,P06_AREA_MAPPING,final01,3,,,Focuses on increasing coverage and finding regressions using AI to generate test suites and expected outputs (oracles).
google/gemma-4-31b-it:free,openrouter,P06_AREA_MAPPING,final01,4,,,"Focuses on the 'upstream' part of the SDLC, using AI to translate natural language requirements into specifications or documentation."
google/gemma-4-31b-it:free,openrouter,P06_AREA_MAPPING,final01,5,,,"Uses machine learning to identify code smells, predict technical debt, and suggest refactoring opportunities."
google/gemma-4-31b-it:free,openrouter,P06_AREA_MAPPING,final01,6,,,Intersects AI with cybersecurity to automate the detection of security flaws and the generation of security patches.
google/gemma-4-31b-it:free,openrouter,P06_AREA_MAPPING,final01,7,,,"Focuses on predicting software defects, estimating effort, and predicting performance bottlenecks using ML."
google/gemma-4-31b-it:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,1,,,"Essential for understanding the specific data privacy policies, opt-out mechanisms for training, and the technical limitations of the specific tool being deployed."
google/gemma-4-31b-it:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,2,,,"Provides a baseline for the model's ability to solve isolated coding tasks, helping the team understand the gap between 'passing a test' and 'production-ready code'."
google/gemma-4-31b-it:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,3,,,"Crucial for establishing a 'trust but verify' culture, as research demonstrates that AI can generate syntactically correct but logically flawed or insecure code."
google/gemma-4-31b-it:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,4,,,"Provides a framework for identifying security vulnerabilities introduced by AI, such as prompt injection or the introduction of insecure coding patterns."
google/gemma-4-31b-it:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,5,,,"Offers real-world case studies on how large-scale organizations integrate AI into their SDLC, including governance and productivity measurement."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P01_CONFERENCE_RANKING,final01,1,ICSE,International Conference on Software Engineering,"Premier venue for software engineering research; consistently publishes the highest volume of AI-assisted SE work including LLM-based coding tools, program repair, test generation, and developer productivity studies."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P01_CONFERENCE_RANKING,final01,2,FSE/ESEC,ACM SIGSOFT International Symposium on Foundations of Software Engineering / European Software Engineering Conference,"Top-tier SE venue with strong emphasis on practical tools and empirical evaluation; major outlet for AI-driven program analysis, repair, and developer tooling."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P01_CONFERENCE_RANKING,final01,3,ASE,International Conference on Automated Software Engineering,"Explicit focus on automation in SE; natural home for program synthesis, repair, test generation, and LLM-based coding assistants."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P01_CONFERENCE_RANKING,final01,4,ISSTA,International Symposium on Software Testing and Analysis,"Leading venue for testing and dynamic analysis; publishes foundational work on test generation, fault localization, and program repair—core AI-assisted SE topics."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P01_CONFERENCE_RANKING,final01,5,ICPC,International Conference on Program Comprehension,"Specialized venue for code understanding, search, and comprehension; increasingly central for code search, representation learning, and LLM-based code understanding."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P01_CONFERENCE_RANKING,final01,6,SANER,"International Conference on Software Analysis, Evolution and Reengineering","Strong focus on maintenance, evolution, and reengineering; key venue for AI-assisted legacy code modernization, refactoring, and technical debt management."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P01_CONFERENCE_RANKING,final01,7,MSR,International Conference on Mining Software Repositories,"Primary venue for empirical SE and repository mining; essential for studies on developer productivity, LLM adoption in practice, and large-scale code corpora."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P01_CONFERENCE_RANKING,final01,8,ICSME,International Conference on Software Maintenance and Evolution,"Dedicated to maintenance and evolution; publishes work on AI-assisted bug fixing, code migration, and long-term software health."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P01_CONFERENCE_RANKING,final01,9,PLDI,Programming Language Design and Implementation,"Top PL venue with growing SE-relevant AI work: program synthesis, neural code generation, type inference, and verified code generation."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P01_CONFERENCE_RANKING,final01,10,NeurIPS / ICML / ICLR,Neural Information Processing Systems / International Conference on Machine Learning / International Conference on Learning Representations,"Premier ML venues where foundational LLM-for-code models (Codex, AlphaCode, CodeT5, StarCoder, etc.) and benchmarks (HumanEval, MBPP, CodeXGLUE) are often first published."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P01_CONFERENCE_RANKING,final01,11,OOPSLA,"Object-Oriented Programming, Systems, Languages, and Applications","PL/SE intersection venue; publishes work on language-integrated tooling, gradual typing for dynamic languages, and AI-assisted developer environments."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P01_CONFERENCE_RANKING,final01,12,ICSA / COMPSAC / ICST / QRS,"International Conference on Software Architecture / IEEE International Conference on Computer Software and Applications / IEEE International Conference on Software Testing, Verification and Validation / IEEE International Conference on Software Quality, Reliability and Security","Strong secondary-tier venues with dedicated tracks for AI in testing, architecture recovery, and quality assurance; collectively capture significant applied AI-SE work not fitting top-tier page limits."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,1,ICSE,International Conference on Software Engineering,"Widely considered the premier SE venue (CORE A*, CSRankings #1 in SE). Increasingly hosts AI/ML for SE papers (e.g., code generation, repair, analysis). High historical influence and broad SE relevance."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,2,FSE,ACM SIGSOFT International Symposium on Foundations of Software Engineering (formerly ESEC/FSE),"CORE A*, CSRankings top-tier SE venue. Strong track record for AI-assisted development research (program synthesis, learning-based analysis). High prestige and SE community centrality."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,3,ASE,International Conference on Automated Software Engineering,"CORE A*, CSRankings top-tier. Explicit focus on automation — natural home for AI/ML in SE (synthesis, repair, testing, modeling). Historically influential for AI-SE intersection."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,4,ISSTA,International Symposium on Software Testing and Analysis,"CORE A*, CSRankings top-tier. Testing/analysis focus aligns with AI-assisted verification, test generation, fault localization. Strong ML-for-testing presence."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,5,ICST,"International Conference on Software Testing, Verification and Validation",CORE A (sometimes A*). Major testing venue with growing AI/ML for testing track. High relevance to AI-assisted QA.
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,6,SANER,"International Conference on Software Analysis, Evolution and Reengineering","CORE A. Evolution/reengineering focus matches AI for code understanding, refactoring, technical debt. Strong ML4Code presence."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,7,MSR,International Conference on Mining Software Repositories,CORE A. Data-driven SE venue; foundational for ML4Code datasets and empirical studies of AI-assisted development. High relevance to AI-for-SE data pipeline.
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,8,ICSME,International Conference on Software Maintenance and Evolution,"CORE A. Maintenance/evolution focus; strong AI for legacy code, modernization, program comprehension tracks."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,9,ICPC,International Conference on Program Comprehension,"CORE A. Direct relevance to AI-assisted code understanding, summarization, navigation. Growing ML presence."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,10,NeurIPS,Conference on Neural Information Processing Systems,"CORE A* (AI/ML), CSRankings #1 in ML. Not SE-specific, but publishes high-impact ML4Code, code generation, program synthesis work. High prestige, broad influence."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,11,ICML,International Conference on Machine Learning,"CORE A* (AI/ML), CSRankings top ML. Similar to NeurIPS: venue for foundational ML4Code, code models, program synthesis. High citation impact."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,12,ICLR,International Conference on Learning Representations,"CORE A* (AI/ML), CSRankings top ML. Strong representation learning focus; key venue for code embeddings, foundation models for code."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,13,AAAI,AAAI Conference on Artificial Intelligence,"CORE A* (AI), CSRankings top AI. Broad AI venue with dedicated SE/software engineering tracks in recent years. High visibility."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,14,PLDI,Programming Language Design and Implementation,"CORE A* (PL), CSRankings #1 in PL. Not SE per se, but strong overlap: program synthesis, ML-guided optimization, compiler+ML. High prestige in PL/SE intersection."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,15,IJCAI,International Joint Conference on Artificial Intelligence,"CORE A* (AI), CSRankings top AI. Long-standing prestige; occasional SE-relevant AI applications. Broader than AAAI, slightly less SE-focused recently."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P03_INFLUENTIAL_PAPERS,final02,7,"""Deep Code Search"" (Gu et al., ICSE 2018","""Deep Code Search"" (Gu et al., ICSE 2018) - early deep learning for code search","""Deep Code Search"" (Gu et al., ICSE 2018) - early deep learning for code search"
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P03_INFLUENTIAL_PAPERS,final02,8,"""CodeBERT","""CodeBERT: A Pre-Trained Model for Programming and Natural Languages"" (Feng et al., EMNLP 2020) - influential pre-trained model for code","""CodeBERT: A Pre-Trained Model for Programming and Natural Languages"" (Feng et al., EMNLP 2020) - influential pre-trained model for code"
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P03_INFLUENTIAL_PAPERS,final02,9,"""GraphCodeBERT","""GraphCodeBERT: Pre-training Code Representations with Data Flow"" (Guo et al., ICLR 2021) - improved code representation","""GraphCodeBERT: Pre-training Code Representations with Data Flow"" (Guo et al., ICLR 2021) - improved code representation"
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P03_INFLUENTIAL_PAPERS,final02,10,"""Codex","""Codex: Evaluating Large Language Models Trained on Code"" (Chen et al., 2021, arXiv) - the Codex paper","""Codex: Evaluating Large Language Models Trained on Code"" (Chen et al., 2021, arXiv) - the Codex paper"
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P03_INFLUENTIAL_PAPERS,final02,11,"""GitHub Copilot","""GitHub Copilot: AI Pair Programmer"" (not a paper per se, but there's a technical report) - maybe ""GitHub Copilot: A Technical Preview"" or similar","""GitHub Copilot: AI Pair Programmer"" (not a paper per se, but there's a technical report) - maybe ""GitHub Copilot: A Technical Preview"" or similar"
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P03_INFLUENTIAL_PAPERS,final02,12,"""AlphaCode","""AlphaCode: Competition-Level Code Generation with AlphaCode"" (Li et al., 2022, Science) - DeepMind's AlphaCode","""AlphaCode: Competition-Level Code Generation with AlphaCode"" (Li et al., 2022, Science) - DeepMind's AlphaCode"
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P03_INFLUENTIAL_PAPERS,final02,13,"""StarCoder","""StarCoder: A State-of-the-Art LLM for Code"" (Li et al., 2023, arXiv) - BigCode's StarCoder","""StarCoder: A State-of-the-Art LLM for Code"" (Li et al., 2023, arXiv) - BigCode's StarCoder"
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P03_INFLUENTIAL_PAPERS,final02,14,"""CodeLlama","""CodeLlama: Open Foundation Models for Code"" (Rozière et al., 2023, arXiv) - Meta's CodeLlama","""CodeLlama: Open Foundation Models for Code"" (Rozière et al., 2023, arXiv) - Meta's CodeLlama"
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P03_INFLUENTIAL_PAPERS,final02,15,"""Program Synthesis with Large Language M","""Program Synthesis with Large Language Models"" (Austin et al., 2021, arXiv) - early LLM for program synthesis","""Program Synthesis with Large Language Models"" (Austin et al., 2021, arXiv) - early LLM for program synthesis"
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P03_INFLUENTIAL_PAPERS,final02,16,"""Neural Program Synthesis from Diverse D","""Neural Program Synthesis from Diverse Demonstration Videos"" (not sure) - maybe ""Learning to Generate Code from Natural Language"" (Ling et al., 2016) - early seq2seq for","""Neural Program Synthesis from Diverse Demonstration Videos"" (not sure) - maybe ""Learning to Generate Code from Natural Language"" (Ling et al., 2016) - early seq2seq for"
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,14,"Large language models (LLMs) like Codex,","Large language models (LLMs) like Codex, CodeGen, StarCoder, etc., have been applied to code generation, completion, and repair.","Large language models (LLMs) like Codex, CodeGen, StarCoder, etc., have been applied to code generation, completion, and repair."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,15,"Benchmarks like HumanEval, MBPP, CodeXGL","Benchmarks like HumanEval, MBPP, CodeXGLUE, APPS, etc., are used to evaluate code generation.","Benchmarks like HumanEval, MBPP, CodeXGLUE, APPS, etc., are used to evaluate code generation."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,16,Research venues,"Research venues: ICSE, FSE, ASE, ICML, NeurIPS, ICLR, etc., have tracks on AI for SE.","Research venues: ICSE, FSE, ASE, ICML, NeurIPS, ICLR, etc., have tracks on AI for SE."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,17,Tools,"Tools: GitHub Copilot, Amazon CodeWhisperer, etc.","Tools: GitHub Copilot, Amazon CodeWhisperer, etc."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,18,Surveys,"Surveys: ""A Survey on Large Language Models for Code Generation"" or similar.","Surveys: ""A Survey on Large Language Models for Code Generation"" or similar."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,19,Specific papers,"Specific papers: ""Evaluating Large Language Models Trained on Code"" (Codex paper), ""CodeGen: An Open Large Language Model for Code with Multi-Turn Program Synthesis"", ""StarCoder: May the Source Be Wit","Specific papers: ""Evaluating Large Language Models Trained on Code"" (Codex paper), ""CodeGen: An Open Large Language Model for Code with Multi-Turn Program Synthesis"", ""StarCoder: May the Source Be With You"", etc."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,20,Benchmarks,"Benchmarks: HumanEval (OpenAI), MBPP (Google), CodeXGLUE (Microsoft), APPS (Hendrycks et al.), etc.","Benchmarks: HumanEval (OpenAI), MBPP (Google), CodeXGLUE (Microsoft), APPS (Hendrycks et al.), etc."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,21,Research areas,"Research areas: code generation, code completion, program repair, code search, code summarization, etc.","Research areas: code generation, code completion, program repair, code search, code summarization, etc."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,61,Claim,"Claim: Large language models trained on code (e.g., Codex, CodeGen, StarCoder) have demonstrated strong performance on code generation benchmarks.","Claim: Large language models trained on code (e.g., Codex, CodeGen, StarCoder) have demonstrated strong performance on code generation benchmarks."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,64,Claim,"Claim: Standardized benchmarks (HumanEval, MBPP, CodeXGLUE, APPS, SWE-bench) enable systematic evaluation of code generation, understanding, and repair capabilities.","Claim: Standardized benchmarks (HumanEval, MBPP, CodeXGLUE, APPS, SWE-bench) enable systematic evaluation of code generation, understanding, and repair capabilities."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,67,Claim,"Claim: Pre-trained models for code (CodeBERT, GraphCodeBERT, PLBART, CodeT5) established foundations for code understanding and generation before the LLM era.","Claim: Pre-trained models for code (CodeBERT, GraphCodeBERT, PLBART, CodeT5) established foundations for code understanding and generation before the LLM era."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,70,Claim,"Claim: AI-assisted software engineering is a growing research area with dedicated tracks at top software engineering conferences (ICSE, FSE, ASE) and ML conferences (ICML, NeurIPS, ICLR).","Claim: AI-assisted software engineering is a growing research area with dedicated tracks at top software engineering conferences (ICSE, FSE, ASE) and ML conferences (ICML, NeurIPS, ICLR)."
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P05_RECENT_WORK,final02,8,LLM,LLM-based code generation,LLM-based code generation
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P05_RECENT_WORK,final02,9,Program repair,Program repair,Program repair
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P05_RECENT_WORK,final02,10,Test generation,Test generation,Test generation
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P05_RECENT_WORK,final02,11,Software engineering agents,Software engineering agents,Software engineering agents
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P05_RECENT_WORK,final02,12,Developer tools,Developer tools,Developer tools
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,7,**Academic papers**,**Academic papers**:,**Academic papers**:
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,13,**Official documentation**,**Official documentation**:,**Official documentation**:
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,19,**Benchmarks**,**Benchmarks**:,**Benchmarks**:
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,26,**Company sources**,**Company sources**:,**Company sources**:
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,32,**Independent evaluations**,**Independent evaluations**:,**Independent evaluations**:
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,75,Security/privacy evaluations (independen,Security/privacy evaluations (independent),Security/privacy evaluations (independent)
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,76,Official documentation for configuration,Official documentation for configuration/privacy settings,Official documentation for configuration/privacy settings
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,77,Benchmarks for capability assessment,Benchmarks for capability assessment,Benchmarks for capability assessment
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final02,43,"""Evaluating Large Language Models Traine","""Evaluating Large Language Models Trained on Code"" - Chen et al., 2021, arXiv:2107.03374 (Codex paper)","""Evaluating Large Language Models Trained on Code"" - Chen et al., 2021, arXiv:2107.03374 (Codex paper)"
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final02,44,"""GitHub Copilot","""GitHub Copilot: An Empirical Study of AI Pair Programming"" - various authors, maybe 2022-2023","""GitHub Copilot: An Empirical Study of AI Pair Programming"" - various authors, maybe 2022-2023"
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final02,45,"""","""",""""
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P08_HALLUCINATION_STRESS,final02,7,"""GitHub Copilot""","""GitHub Copilot"" - the product itself, but that's not a paper","""GitHub Copilot"" - the product itself, but that's not a paper"
