model,provider,prompt_id,run_id,rank,title,authors,year,venue,claimed_affiliation
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,9,Software Product Lines: A Comprehensive Taxonomy,"[""M. Gribaudo"", ""C.M. Sánchez""]",2011,IEEE Software,"INSTITUTO POLITECNICO DO MINHO, Portugal"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,10,Formal Verification and Model Checking in Systems: A Step Forward for Verification Challenges,"[""P. Cousot"", ""R.A. Jansen""]",2021,Journal on Formal Methods in System Design (ForM),"CNRS - LIP, Nancy, France"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,11,Software Engineering for Cloud-Aware Systems: The Cloud-Native Architecture,"[""C.H. Lin"", ""H.L.C. Chan""]",2021,IEEE Software (SOFT),"Department of Computer Science and Engineering, City University of Hong Kong"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,12,Context-Adaptive Middleware for Dynamic Software Systems,"[""J. Wang"", ""O.M. Kao""]",2015,"IFIP Conference on Quality, Reliability and Security of Web Services (QRWS)","Department of Computer Science and Information Engineering, National Taiwan University"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,13,Principles of Middleware for Distributed Applications,"[""D. Hesselink"", ""J.T.W. Vermeers""]",1985,IFIP TC6/WG2.5 Conference on Software Engineering (ICSE),"IBM Almaden Research Center, USA"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,14,Quality-Oriented Metrics and Measurement Techniques in Software Process Improvement,"[""E.M.J. van de der Meer"", ""J.D.C.A.E.van Lierder Duijvenhof""]",2017,IFIP International Federation for Information Processing (IFIP) Transactions A: Computer Science and Communication Technology,"Dip. Informativa, University of Padova, Italy"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,15,Software Product Lines in Practice: Case Studies from Leading Enterprises,"[""C.M. Sánchez"", ""M.F. Marques""]",2021,Journal of Systems and Software (JSS),"Universidade Aberta, Portugal"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,1,A Language for Parallel Programming,"[""D. H. D. Warren""]",1968,Proc. ACM SIGPLAN/SIGART Conf.,"University of California, Riverside"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,2,Conceptual Data Models and Implementation Strategies,"[""F. Codd"", ""W.R. Haddon""]",1978,IEEE Transactions on Software Engineering SER 4 (6),IBM
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,3,Anatomy of an Operating System: The Unix Time-Sharing System,"[""R.T. Watson"", ""W.M. Duvan""]",1974,IEEE Transactions on Software Engineering SER (6),IBM
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,4,The Mythical Man-Month: Essays On Software Engineering,"[""F.P. Brooks""]",1975,(No venue mentioned),IBM
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,5,"Databases and Data Bases: Concepts, Structure, Implementation","[""R.M. Stallman""]",1978,IEEE Transactions on Software Engineering,Massachusetts Institute of Technology
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,6,Managing Computer Resources: A Survey of Time- Sharing Systems,"[""R. Morris"", ""W.K. Givens""]",1970,Proceedings of the Conference on Automated Software Engineering (CASE),IBM
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,7,A Comparison Of Two Computer Science Departments,"[""R.E. Boyce""]",1987,SIGCSE Bulletin Issue-3,Unspecified
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,8,An Analysis of Software Engineering Literature: A Tool for Research and Practice,"[""D.D. Chiu"", ""J.W. Seberry""]",1976,SIGCSE Bulletin Issue-4,"New York University, Courant Institute"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,9,The Design of Compiler Generators: The ALGOL W Editor and Debugger System,"[""J.A. Griesch""]",1968,(No venue mentioned),Unspecified
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,10,"On the Relationship Between the User-Interface, Abstractions, and Tools","[""D.R. Harel""]",1978,(No venue mentioned),Tel Aviv University
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,11,Software Engineering Practices and the Software Crisis: A Cross-Section of Practitioners,"[""R.F. Dwyer"", ""M.C. Raus""]",1973,ACM SIGSOFT Software Engineering Notes Issue-3,Indiana University
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,12,An Investigation into the Complexity of Managing Database Systems,"[""B.H. Mosser""]",1970,(No venue mentioned),Unspecified
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,13,An Investigation into the Complexity of Managing Database Systems,"[""R.E. Boyce""]",2006,'Computer Science: Current Challenges and Perspectives (CSCPP) ',Unspecified
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,14,An Investigation into the Complexity of Managing Database Systems - A Historical Perspective,"[""R.E. Boyce""]",2007,"'Compliance and Change - A Study on Current Challenges, Trends in Software Engineering (CACSECS) '",Unspecified
qwen2.5:3b,ollama,SE_PAPERS,imp01-s3,15,A Survey of Recent Books on Software Engineering: From Text to Applications,"[""S.A. Cook""]",1983,'ACM Sigsoft Newsletter Issue-7',Unspecified
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,1,A Pattern Language,"[""Christopher Alexander"", ""Lloyd Edwards"", ""Dale Smith""]",1977,Harper Colophon,"Berkeley, CA, United States"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,2,A Case for Architectural Styles,"[""David J. Orchard"", ""Alan N. Lloyd""]",1978,"Computer Sciences Department University of Texas at Austin, United States","Austin, TX, United States"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,3,Communicating with Software Tools,"[""David Parnas"", ""Dennis Macen""]",1980,"Massachusetts Institute of Technology Computer Science Laboratory, United States","Boston, MA, United States"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,4,Improving the Efficiency of Algorithm Implementations,"[""James M. Cooper"", ""David C. Kilmurray""]",1978,"Massachusetts Institute of Technology Computer Science Laboratory, United States","Cambridge, MA, United States"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,5,The Role of Software Patterns in Developing Object-Oriented Software Systems,"[""Jiří Pachl"", ""Jano Štepka""]",2019,"Faculty of Informatics Masaryk University, Czechia","Praha, Czechia"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,6,How To Build A Spreadsheet - a Historical Study,"[""Philippe van Ostaeyen"", ""Christophe Blomme""]",2018,"Ghie, Belgium and Belgium","Herent, Belgium"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,7,From Software Engineering to Ubiquitous Computing,"[""Frans P. Stoudey"", ""Sue O'Connor""]",2006,"University of Umeå, Sweden","Umeå, Sweden"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,8,"Refactoring Software, Architectures, Platforms and Cultures","[""Martin Fowler""]",1999,"The Agile Universe Conference, United Kingdom","Cambridge, United Kingdom"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,9,Conceptual Foundations of Object-Oriented Analysis and Design: A Methodology of the Mind,"[""Thomas O. Uprichardte""]",1993,"The School for Advanced Studies in Social Science, United States","Durham, NC, United States"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,10,A New View of Software Engineering: The Role of Patterns,"[""Christopher Alexander"", ""Samuel W. Buck"", ""William E. Royinsenholt""]",2013,"Luleå, Sweden and Sweden","Umeå, Sweden"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,11,A Pattern Language Revisited: From Design Patterns to Object-Oriented Software Systems,"[""Pavel Čermák"", ""Tomáš Fröhlich""]",1998,"University of Vienna & Czech Technical University in Prague - Faculty of Electrical Engineering and Communication, Austria","Vienna, Austria"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,12,The Role of Software Patterns in Implementable Architectures for Web Services,"[""Ralph S. Gehringer"", ""Carmen A. Scholz""]",2007,"RWTH-Aachen, Germany","Aachen, Germany"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,13,An Object-oriented Programming Language: Design and Compiler,"[""Alan J. Perlis"", ""David W. Reilly"", ""William B. Emery""]",1968,"MIT Lincoln Laboratory, United States","Boston, MA, USA"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,14,A Review of Software Engineering Journal - Reflections on the Past and Vision for the Future,"[""Thomas P. Niemyer""]",2005,"School of Informatics, The University of Edinburgh, United Kingdom","Edinburgh, United Kingdom"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s4,15,Software Engineering in Japan: Recent Developments and Challenges,"[""Hisashi Matsui"", ""Akira Nishida""]",2006,"Department of Electrical and Computer Science, Aoyama Gakuin University, Japan","Tokyo, Japan"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,1,A Language for Distributed Algorithms,"[""Leslie Lamport""]",1980,A CMJ Special Issue on Programming Concepts and Procedures,SRI International
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,2,Software Engineering for Expertise-Based Systems: An Evaluation of the Knowledge-based Development Process,"[""Dennis E. Gadd"", ""James P. Fisk""]",1987,Computing Surveys,Bell Communications Research
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,3,Extending the Limits of Relational Databases: A Case for Embedded SQL,"[""Kenneth C. Anderson"", ""Edd Gause""]",1984,SIGMOD '85 Proceedings of the ACM SIGMOD International Conference on Management of Data,IBM
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,4,"The Role of a Language in Programming, Revisited: How Should We Do It?","[""E. Scott Daniels""]",2017,SIGSOFT Software Engineering Notes,Georgia Institute of Technology
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,5,Practical Experience with a Program Maintenance Repository: The NPL '79 Experiment and Its Impact on the ORACLE System Development Process,"[""Brian Randell"", ""M. J. O'Donnagh""]",1982,Communications of the ACM,National Physical Laboratory
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,6,A Case for Const in C++,"[""Scott Meyers"", ""Alexei Nogin""]",1997,C++ Report,Sun Microsystems
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,7,An Object-Focused Language for Database Applications: The AMPL Specifier of the Coda Library System,"[""Randal E. Olson"", ""Kathy Brockify""]",1984,Proceedings of the ACM SIGMOD International Conference on Management of Data,"University of California, Berkeley"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,8,The Structure and Status of Computer Science: An Investigation by the National Research Council Committee on Computing Sciences,"[""Robert D. Lacy""]",1973,Bulletin of the American Mathematical Society,University of Illinois at Chicago Circle
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,9,'Let's Build Some More Libraries': The Role and Impact of Program Libraries in Practice,"[""Robert D. Lacy""]",1990,SIGPLAN Notices - ACM SIGPLAN Posters' Corner Proceedings,University of Illinois at Chicago Circle
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,10,"A Unified Theory for the Design, Implementation and Use of Operating System Services","[""Randal E. Olson""]",1986,ACM Transactions on Computer Systems,"University of California, Berkeley"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,11,Developing Software: A Metrics Approach,"[""C. Gordon"", ""B. Crogman"", ""I. Hiltz"", ""J. Smith""]",2004,Communications of the ACM,Sandia National Laboratories
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,12,Object-Oriented Database Modeling in Information Systems Development: An Empirical Investigation.,"[""Krzysztof Czarnecki"", ""Maurice B. Older""]",2004,IEEE Intelligent Systems,University of Texas at Arlington
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,13,The State of the Art in Software Engineering: A Survey and Classification of 567 Relevant Papers,"[""R. M. Harris""]",1984,Software Practitioners' Journal,"Bell Telephone Laboratories, Inc."
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,14,Software Engineering Concepts and Practices: Their Evaluation and Classification as a Survey of Research in Software Engineering from 1963-1978,"[""C. F. Magin"", ""M.J. O'Donnagh""]",1984,Software Practitioners' Journal,National Physical Laboratory
qwen2.5:3b,ollama,SE_PAPERS,imp01-s5,15,Program Specification by Structure: An Introduction and an Illustration of Dataflow Programming Languages,"[""Leslie Lamport"", ""Michael Scott""]",1974,ACM SIGPLAN Notices - SIGFUSE,SRI International
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,1,Maximization By Conditionalization In A Probabilistic Algorithm For Extracting Human Figure Scales,"[""William T. Freeman"", ""David H. Salesieni""]",1987,International Joint Conference on Artificial Intelligence (IJCAI),Brown University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,2,Object Recognition Using a Learning Algorithm for Neural Networks,"[""David H. Salesieni"", ""William T. Freeman""]",1985,National Conference on Artificial Intelligence (AAAI),Brown University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,3,On Extracting the Main Axes of a Man from His Photograph,"[""William T. Freeman""]",1980,Computer Vision System Applications Conference (CVSSA),Brown University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,4,Learning to Rank in Object Recognition: the Caffeine Algorithm,"[""William T. Freeman"", ""Yaron Korensky""]",2012,Asian Conference on Computer Vision (ACCV),AFL University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,5,An Intuitive and Effective Algorithm for Building a Recognition Model,"[""David H. Salesieni"", ""William T. Freeman""]",1982,National Conference on Artificial Intelligence (AAAI),Brown University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,6,A Probabilistic Algorithm for Recognizing Composite Bodies Using Multiresolution Discrete Fourier Transforms,"[""William T. Freeman"", ""David H. Salesieni""]",1985,International Conference on Computer Vision (ICCV),Brown University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,7,An Algorithm for Recognizing Three-Dimensional Objects,"[""David H. Salesieni"", ""William T. Freeman""]",1976,Journal of the ACM (JACM),Brown University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,8,The Representation and Use of Visual Context for Machine Vision,"[""William T. Freeman""]",1984,International Conference on Computer Vision (ICCV),Brown University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,9,On a Problem in Machine Recognition: The Extraction of the Shape Descriptors,"[""William T. Freeman"", ""Drew Rorli""]",1983,International Joint Conference on Artificial Intelligence (IJCAI),Brown University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,10,A Probabilistic Algorithm for Extracting Human Figure Scales,"[""William T. Freeman"", ""David H. Salesieni""]",1987,International Conference on Computer Vision (ICCV),Brown University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,11,An Analysis of the Combinatorial Problems in Designing a Visual System,"[""David H. Salesieni"", ""William T. Freeman""]",1986,International Conference on Pattern Recognition (ICPR),Brown University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,12,An Incremental Algorithm for Visual Feature Extraction,"[""Yaron Korensky"", ""William T. Freeman""]",2018,NeurIPS Workshop on Learning with Data Streams (LwDS),AFL University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,13,Object Recognition in Images,"[""William T. Freeman"", ""David H. Salesieni""]",1980,Journal of the ACM (JACM),Brown University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,14,A Neural Network Approach to Visual Object Recognition,"[""William T. Freeman""]",2008,ACM International Conference on Computer Vision (ICCV),Google
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s1,15,An Analysis of the Combinatorial Problems in Designing a Visual System,"[""David H. Salesieni"", ""William T. Freeman""]",1986,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Brown University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,1,Two-Dimensional Visualization on a Two-Dimensional Screen,"[""Rayleigh (John William Strutt)""]",1930,Nature,"Trinity College, Cambridge"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,2,Retinex Theory,"[""David O. Regiers and Warren N. Medich""]",1976,Journal of the Optical Society of America,"Bell Laboratories, Murray Hill"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,3,The Two-Stage Cascade Algorithm for Multiband Image Restoration,"[""Pierre B. Deschênes, Philippe Vandergie and Guy L. Jullien""]",1978,IEEE Transactions on Pattern Analysis and Machine Intelligence (PAMI),École Polytechnique Fédérale de Lausanne
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,4,The CENS Multiresolution Image Representation,"[""Srinaveen K. Nandigala, Michael J. Kilmer and David A. Forsythe""]",1983,IEEE Transaction on Pattern Analysis & Machine Intelligence (PAMI),National Bureau of Standards
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,5,Analysis of the Performance of an Image Model on a Computer,"[""M. Minsky, S. Kakeya and J. Rapaport""]",1960,IRE Review,Massachusetts Institute of Technology
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,6,The Fourier Snapshot System - Image Representation by Wavelet Transform,"[""P. M. Larsen and E. W. Arnoldsson""]",1987,Computer Graphics Forum (Proceedings of SIGGRAPH),"National Supercomputer Center, Scientific Computing Department"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,7,Understanding Images through Algorithms,"[""James R. Turner, Richard E. Fessler and Donald W. Hein""]",1962,IEEE Computer Science Review (CSR),Massachusetts Institute of Technology
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,8,Computer Sketch-Based Image Retrieval,"[""Shree M. Nayarre, Abhikumar Shingon and Jitendra R. Srinivas""]",1997,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Microsoft Research
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,9,The Random Sample Consistency of the PCA-Based Face Representation,"[""H. Lindeh, G.H Forsythe and D.H Forsythe""]",1983,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",California Institute of Technology
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,10,A Learning Strategy for Recognition of Handwritten Numerals,"[""C.G. Spath, H.C. Lindeh and S.L. Cramer""]",1985,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",University of Southern California
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,11,Learning to Rank: The Web Example,"[""F. Wenliu, C.Li Guo, D.M.Yeung and A.C. Mok""]",2007,ACM SIGIR 2007 Conference on Hypertext and the World Wide Web,Hong Kong University of Science & Technology
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,12,"Hierarchical Image Representations: An Overview - Part I, Computational Aspects and Hierarchically Referred Segmentation (HRS)","[""C. Tung-Liang Huang and W.-Y. Hsu""]",1998,International Journal of Computer Vision,Academia Sinica
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,13,Fast and Robust Algorithms for Image Segmentation with Application to Face Detection,"[""T. Tsuzuki, A. Inokuchi and Y.Kanade""]",2003,Proceedings of the Eighth International Conference on Computer Vision (ICCV),Kyoto University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,14,SVM with Kernels Based on Local Descriptors,"[""M.-C. Chang and C.K. Lee""]",2008,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Academia Sinica
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s2,15,Learning to Classify Images with an Adaptive Kernel Machine,"[""R.H. Yeh, H.-W. Ho and C.K. Lee""]",2009,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Academia Sinica
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,1,Object Recognition Meets Object Localization,"[""Shimon Peres""]",2004,PAMI,Microsoft
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,2,Histograms of Oriented Gradients for Human Detection and Object Recognition,"[""J. Dalal"", ""B. Triggs""]",2005,CVPR,"Stanford University, Stanford"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,3,Combining Local Features for Face Detection and Recognition under Variability in Pose and Illumination,"[""R. Fisher"", ""Y.-J. Kuo""]",2001,CVPR,"CMU, CMU"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,4,Object Recognition Using Local Affine and Projective Structural Descriptors,"[""L. Van der Mael""]",2001,CVPR,"INRIA, INRIA"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,5,Learning Generative Models from Few Training Samples: An Unusual Approach,"[""Y.-A. LeCunn"", ""J. Hinton""]",1987,ICML,"MIT, MIT"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,6,Probabilistic Boosting Networks for Tracking Multiple Objects in Video Sequences,"[""S. Baker"", ""D. Kriegman""]",2004,CVPR,"University of Washington, University of Washington"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,7,Support Vector Machines for Multi-class Pattern Recognition: A Comparative Study,"[""S. Chen""]",1995,CVPR,"University of Maryland, College Park, University of Maryland"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,8,Harris and Shi-Kass-Badek Algorithms for Edge Localization: Experimental Analysis and New Variations on Two Classic Papers,"[""C. Delp"", ""K.-I. Kim""]",2013,CVPR,"University of Texas, Austin"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,9,Re-weighted Regression-based Detection for Tracking,"[""A. Davis"", ""E. Aksen""]",2003,CVPR,"MIT, MIT"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,10,An Empirical and Theoretical Comparison of Multiclass Boosting Algorithms,"[""T. Finley"", ""R. Carvalho""]",2006,CVPR,"University of California, Santa Cruz, University of California"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,11,Hierarchical Boosting for Non-negative Matrix Factorisation and Data Decomposition,"[""N. Gillis"", ""P. Combettes""]",2016,CVPR,"Uppsala University, MIT"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,12,Visual Object Detection Using Hidden Support Vector Machines and Robust Statistics,"[""L. Van der Mael"", ""A. Zisserman""]",2004,CVPR,"INRIA, INRIA"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,13,Learning from Labeled and Unlabeled Data in Computer Vision: Towards a New Algorithmic Framework,"[""X. He"", ""P. Maalouf""]",2015,CVPR,"University of Illinois, Urbana-Champaign, University of Illinois"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,14,Semi-Supervised Learning with Probabilistic Kernels and Multi-Class Support Vector Machines,"[""A. Smola"", ""P.-H.-C. Hsu""]",2002,CVPR,"Microsoft, Microsoft"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s3,15,Face Discovery: Learning from Images that Show Many People with Unknown Names,"[""Y. Singer"", ""Z.-H. Zhou""]",2009,CVPR,"MIT, MIT"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,1,Single-image room scale egomotion from encoder-decoder recurrent networks,"[""Wendelboe Christiansen"", ""Hannes J. Larsen"", ""Casper Rasmussen""]",2018,CVPR,DTU Compute
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,2,End-to-end differentiable rendering for photorealistic object reconstructions,"[""Kai H. Koesten"", ""Xinchen Liu""]",2018,CVPR,ETH Zurich
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,3,Facial landmark detection by deep generative adversarial networks,"[""Chen Change Loy"", ""Vineet Sinha""]",2016,CVPR,National University of Singapore
