model,provider,prompt_id,run_id,url,domain,source_type,claimed_purpose,validation_status
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2203.13474,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2305.06161,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2108.07732,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2102.04664,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2105.09938,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2303.17012,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2002.06853,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2009.08366,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2104.02823,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2109.00859,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2310.06770,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://docs.github.com/en/copilot,docs.github.com,github_repository,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://docs.aws.amazon.com/codewhisperer/,docs.aws.amazon.com,unknown,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://www.tabnine.com/docs/,tabnine.com,unknown,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://www.jetbrains.com/ai-assistant/,jetbrains.com,unknown,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://github.blog/tag/copilot-research/,github.blog,personal_blog,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://www.amazon.science/working-at-amazon/codewhisperer,amazon.science,unknown,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://deepmind.google/technologies/alphacode/,deepmind.google,company_blog,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://arxiv.org/abs/2107.03374,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://arxiv.org/abs/2211.03622,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://arxiv.org/abs/2108.07732,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://arxiv.org/abs/2310.06770,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://arxiv.org/abs/2102.04664,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P07_PRACTITIONER_GUIDANCE,final02,https://arxiv.org/abs/2107.03374,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final01,https://docs.github.com/en/copilot,docs.github.com,github_repository,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final01,https://github.blog/2021-06-29-introducing-github-copilot-ai-pair-programmer/,github.blog,personal_blog,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final01,https://conf.researchr.org/home/icse-2024,conf.researchr.org,conference_page,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final01,https://www.cognition-labs.com/blog/introducing-devin,cognition-labs.com,unknown,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final01,https://doi.org/10.1109/MC.1987.1663532,doi.org,academic_paper,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final01,https://arxiv.org/abs/2107.03374,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final01,https://arxiv.org/abs/2203.07814,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final01,https://arxiv.org/abs/2310.06770,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final01,https://arxiv.org/abs/2002.08155,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final01,https://arxiv.org/abs/2102.04664,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final02,https://arxiv.org/abs/2107.03374,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final02,https://arxiv.org/abs/2102.04664,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final02,https://arxiv.org/abs/2108.07732,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final02,https://arxiv.org/abs/2203.07814,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final02,https://arxiv.org/abs/2305.06161,arxiv.org,arxiv,arXiv,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P10_SOURCE_VALIDATION_AUDIT,final02,https://arxiv.org/abs/2308.12950,arxiv.org,arxiv,arXiv,unvalidated
openai/gpt-oss-120b:free,openrouter,P01_CONFERENCE_RANKING,final01,http://csrankings.org,csrankings.org,unknown,,unvalidated
openai/gpt-oss-120b:free,openrouter,P01_CONFERENCE_RANKING,final01,https://conf.researchr.org/home/icse-2024/seip,conf.researchr.org,conference_page,,unvalidated
openai/gpt-oss-120b:free,openrouter,P01_CONFERENCE_RANKING,final01,https://neurips.cc/Conferences/2023/CallForPapers,neurips.cc,unknown,,unvalidated
openai/gpt-oss-120b:free,openrouter,P01_CONFERENCE_RANKING,final01,https://www.msrconf.org/2024,msrconf.org,conference_page,,unvalidated
openai/gpt-oss-120b:free,openrouter,P01_CONFERENCE_RANKING,final01,https://ase2023.org,ase2023.org,unknown,,unvalidated
openai/gpt-oss-120b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,https://core.edu.au/ranking,core.edu.au,unknown,CORE Conference Ranking 2023,unvalidated
openai/gpt-oss-120b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,http://csrankings.org,csrankings.org,unknown,CSRankings – Computer Science Rankings,unvalidated
openai/gpt-oss-120b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,https://doi.org/10.1109/TSE.2022.3151234,doi.org,academic_paper,The State of the Art in AI‑Assisted Software Engineering,unvalidated
openai/gpt-oss-120b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,https://arxiv.org/abs/2006.10730,arxiv.org,arxiv,Deep Learning for Code: A Survey,unvalidated
openai/gpt-oss-120b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,https://doi.org/10.1145/3377811.3380415,doi.org,academic_paper,Program Synthesis and Its Applications in Software Engineering,unvalidated
