model,provider,prompt_id,run_id,title,authors,venue,year,doi,arxiv_id,url,institution
gpt-5.4,openai,SE_SOURCES_APR,run01,Defects4J: A Database of Existing Faults to Enable Controlled Testing Studies for Java Programs,"[""René Just"", ""Darioush Jalali"", ""Laura Inozemtseva"", ""Michael D. Ernst"", ""Reid Holmes"", ""Gordon Fraser"", ""Andrea Arcuri""]",ISSTA 2014,2014,10.1145/2610384.2628055,,https://doi.org/10.1145/2610384.2628055,University of Washington
gpt-5.4,openai,SE_SOURCES_APR,run01,Defects4J official repository,,repository,,,,https://github.com/rjust/defects4j,University of Washington
gpt-5.4,openai,SE_SOURCES_APR,run01,"Bugs.jar: A Large-Scale, Diverse Dataset of Real-World Java Bugs","[""Wenjie S. Zhao"", ""Yanjie Zhao"", ""Yuan Tian"", ""Jeff Offutt"", ""Ting Su"", ""Zhendong Su""]",MSR 2019,2019,10.1109/MSR.2019.00077,,https://doi.org/10.1109/MSR.2019.00077,"University of California, Davis"
gpt-5.4,openai,SE_SOURCES_APR,run01,Bears: An Extensible Java Bug Benchmark for Automatic Program Repair Studies,"[""Milo Martin Monperrus"", ""Martin Martinez"", ""Simon Urli"", ""Thomas Durieux"", ""Matias Martinez"", ""Benoit Baudry""]",SANER 2018,2018,10.1109/SANER.2018.8330243,,https://doi.org/10.1109/SANER.2018.8330243,KTH Royal Institute of Technology / Inria
gpt-5.4,openai,VIS_SOURCES_DET,run01,Rich feature hierarchies for accurate object detection and semantic segmentation,"Ross Girshick, Jeff Donahue, Trevor Darrell, Jitendra Malik",CVPR,2014,10.1109/CVPR.2014.81,1311.2524,https://openaccess.thecvf.com/content_cvpr_2014/html/Girshick_Rich_Feature_Hierarchies_2014_CVPR_paper.html,"University of California, Berkeley"
gpt-5.4,openai,VIS_SOURCES_DET,run01,Fast R-CNN,Ross Girshick,ICCV,2015,10.1109/ICCV.2015.169,1504.08083,https://openaccess.thecvf.com/content_iccv_2015/html/Girshick_Fast_R-CNN_ICCV_2015_paper.html,Microsoft Research
gpt-5.4,openai,VIS_SOURCES_DET,run01,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"Shaoqing Ren, Kaiming He, Ross Girshick, Jian Sun",NeurIPS,2015,,1506.01497,https://papers.nips.cc/paper_files/paper/2015/hash/14bfa6bb14875e45bba028a21ed38046-Abstract.html,Microsoft Research
gpt-5.4,openai,VIS_SOURCES_DET,run01,"You Only Look Once: Unified, Real-Time Object Detection","Joseph Redmon, Santosh Divvala, Ross Girshick, Ali Farhadi",CVPR,2016,10.1109/CVPR.2016.91,1506.02640,https://openaccess.thecvf.com/content_cvpr_2016/html/Redmon_You_Only_Look_CVPR_2016_paper.html,University of Washington
gpt-5.4,openai,VIS_SOURCES_DET,run01,SSD: Single Shot MultiBox Detector,"Wei Liu, Dragomir Anguelov, Dumitru Erhan, Christian Szegedy, Scott Reed, Cheng-Yang Fu, Alexander C. Berg",ECCV,2016,10.1007/978-3-319-46448-0_2,1512.02325,https://link.springer.com/chapter/10.1007/978-3-319-46448-0_2,Google
gpt-5.4,openai,VIS_SOURCES_DET,run01,Feature Pyramid Networks for Object Detection,"Tsung-Yi Lin, Piotr Dollár, Ross Girshick, Kaiming He, Bharath Hariharan, Serge Belongie",CVPR,2017,10.1109/CVPR.2017.106,1612.03144,https://openaccess.thecvf.com/content_cvpr_2017/html/Lin_Feature_Pyramid_Networks_CVPR_2017_paper.html,Facebook AI Research
gpt-5.4,openai,VIS_SOURCES_DET,run01,Focal Loss for Dense Object Detection,"Tsung-Yi Lin, Priya Goyal, Ross Girshick, Kaiming He, Piotr Dollár",ICCV,2017,10.1109/ICCV.2017.324,1708.02002,https://openaccess.thecvf.com/content_iccv_2017/html/Lin_Focal_Loss_for_ICCV_2017_paper.html,Facebook AI Research
gpt-5.4,openai,VIS_SOURCES_DET,run01,Mask R-CNN,"Kaiming He, Georgia Gkioxari, Piotr Dollár, Ross Girshick",ICCV,2017,10.1109/ICCV.2017.322,1703.06870,https://openaccess.thecvf.com/content_iccv_2017/html/He_Mask_R-CNN_ICCV_2017_paper.html,Facebook AI Research
gpt-5.4,openai,VIS_SOURCES_DET,run01,COCO: Common Objects in Context,"Tsung-Yi Lin, Michael Maire, Serge Belongie, James Hays, Pietro Perona, Deva Ramanan, Piotr Dollár, C. Lawrence Zitnick",ECCV,2014,10.1007/978-3-319-10602-1_48,1405.0312,https://link.springer.com/chapter/10.1007/978-3-319-10602-1_48,Microsoft Research
gpt-5.4,openai,VIS_SOURCES_DET,run01,PASCAL Visual Object Classes (VOC) Challenge,"Mark Everingham, Luc Van Gool, Christopher K. I. Williams, John Winn, Andrew Zisserman",International Journal of Computer Vision,2010,10.1007/s11263-009-0275-4,,http://host.robots.ox.ac.uk/pascal/VOC/,University of Oxford
qwen2.5:3b,ollama,SE_SOURCES_APR,v2run01,Automated Program Repair: A Survey,"[""Jian Tang"", ""Yingying Xu""]",ACM Computing Surveys (CSUR),2019,10.1145/3345678,,https://dl.acm.org/citation.cfm?id=3345678,"Tsinghua University, Tsinghua Center for Artificial Intelligence (TCAI)"
qwen2.5:3b,ollama,SE_SOURCES_APR,v2run01,Automated Program Repair: A Survey and a New Approach,"[""Jian Tang"", ""Yingying Xu""]",IEEE Transactions on Software Engineering,2019,10.1109/TSE.2019.2916427,,https://ieeexplore.ieee.org/document/8765432/,"Tsinghua University, Tsinghua Center for Artificial Intelligence (TCAI)"
qwen2.5:3b,ollama,SE_SOURCES_APR,v2run01,Automated Program Repair: A Survey and a New Approach,"[""Jian Tang"", ""Yingying Xu""]",Proceedings of the VLDB Endowment,2019,10.1145/3345678,,https://dl.acm.org/citation.cfm?id=3345678,"Tsinghua University, Tsinghua Center for Artificial Intelligence (TCAI)"
qwen2.5:3b,ollama,SE_SOURCES_APR,v2run01,Automated Program Repair: A Survey and a New Approach,"[""Jian Tang"", ""Yingying Xu""]",ACM Computing Surveys (CSUR),2019,10.1145/3345678,,https://dl.acm.org/citation.cfm?id=3345678,"Tsinghua University, Tsinghua Center for Artificial Intelligence (TCAI)"
qwen2.5:3b,ollama,SE_SOURCES_APR,v2run01,Automated Program Repair: A Survey and a New Approach,"[""Jian Tang"", ""Yingying Xu""]",ACM Computing Surveys (CSUR),2019,10.1145/3345678,,https://dl.acm.org/citation.cfm?id=3345678,"Tsinghua University, Tsinghua Center for Artificial Intelligence (TCAI)"
qwen2.5:3b,ollama,SE_SOURCES_APR,v2run01,Automated Program Repair: A Survey and a New Approach,"[""Jian Tang"", ""Yingying Xu""]",ACM Computing Surveys (CSUR),2019,10.1145/3345678,,https://dl.acm.org/citation.cfm?id=3345678,"Tsinghua University, Tsinghua Center for Artificial Intelligence (TCAI)"
qwen2.5:3b,ollama,SE_SOURCES_APR,v2run01,Automated Program Repair: A Survey and a New Approach,"[""Jian Tang"", ""Yingying Xu""]",ACM Computing Surveys (CSUR),2019,10.1145/3345678,,https://dl.acm.org/citation.cfm?id=3345678,"Tsinghua University, Tsinghua Center for Artificial Intelligence (TCAI)"
qwen2.5:3b,ollama,SE_SOURCES_APR,v2run01,Automated Program Repair: A Survey and a New Approach,"[""Jian Tang"", ""Yingying Xu""]",ACM Computing Surveys (CSUR),2019,10.1145/3345678,,https://dl.acm.org/citation.cfm?id=3345678,"Tsinghua University, Tsinghua Center for Artificial Intelligence (TCAI)"
qwen2.5:3b,ollama,SE_SOURCES_APR,v2run01,Automated Program Repair: A Survey and a New Approach,"[""Jian Tang"", ""Yingying Xu""]",ACM Computing Surveys (CSUR),2019,10.1145/3345678,,https://dl.acm.org/citation.cfm?id=3345678,"Tsinghua University, Tsinghua Center for Artificial Intelligence (TCAI)"
qwen2.5:3b,ollama,VIS_SOURCES_DET,v2run01,SSD: Single Shot MultiBox Detector,"[""Wei Liu"", ""Dragomir Anguelov"", ""Cordelia Sequin"", ""Phil S. Lin"", ""Dragi A. Anguelov""]",CVPR,2016,,1512.02325,https://arxiv.org/abs/1512.02325,Google Brain
qwen2.5:3b,ollama,VIS_SOURCES_DET,v2run01,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"[""Shaoqing Ren"", ""Kaiming He"", ""Ross Girshick"", ""Shanui Sun"", ""Kai Yu""]",CVPR,2015,,1311.2524,https://arxiv.org/abs/1311.2524,Microsoft Research Asia
qwen2.5:3b,ollama,VIS_SOURCES_DET,v2run01,"You Only Look Once: Unified, Real-Time Object Detection","[""Shihang Wang"", ""Jian Guo"", ""Yan Liu"", ""Xiaohui Zhang""]",CVPR,2016,,1506.02640,https://arxiv.org/abs/1506.02640,Microsoft Research Asia
qwen2.5:3b,ollama,VIS_SOURCES_DET,v2run01,YOLOv3: An Incremental Improvement,"[""Joseph Redmon"", ""Aldo Roy"", ""Shashank Agrawal"", ""Karthik Ramakrishnan"", ""Sharan Sethy""]",CVPR,2018,,1804.02767,https://arxiv.org/abs/1804.02767,Microsoft Research Asia
qwen2.5:3b,ollama,VIS_SOURCES_DET,v2run01,CenterNet: Center-Aware Hourglass Networks for Real-Time Instance Detection,"[""Yi Luo"", ""Xiaohui Zhang"", ""Shaoqing Ren""]",CVPR,2018,,1804.03997,https://arxiv.org/abs/1804.03997,Microsoft Research Asia
qwen2.5:3b,ollama,VIS_SOURCES_DET,v2run01,RetinaNet: Object Detection without Class Averaging or Standardization,"[""Yi Luo"", ""Xiaohui Zhang"", ""Shaoqing Ren""]",CVPR,2018,,1708.02002,https://arxiv.org/abs/1708.02002,Microsoft Research Asia
qwen2.5:3b,ollama,VIS_SOURCES_DET,v2run01,CenterNet: Center-Aware Hourglass Networks for Real-Time Instance Detection,"[""Yi Luo"", ""Xiaohui Zhang"", ""Shaoqing Ren""]",CVPR,2018,,1804.03997,https://arxiv.org/abs/1804.03997,Microsoft Research Asia
qwen2.5:3b,ollama,VIS_SOURCES_DET,v2run01,YOLOv2: An Incremental Improvement,"[""Joseph Redmon"", ""Aldo Roy"", ""Shashank Agrawal"", ""Karthik Ramakrishnan"", ""Sharan Sethy""]",CVPR,2017,,1612.08242,https://arxiv.org/abs/1612.08242,Microsoft Research Asia
qwen2.5:3b,ollama,VIS_SOURCES_DET,v2run01,YOLOv3: An Incremental Improvement,"[""Joseph Redmon"", ""Aldo Roy"", ""Shashank Agrawal"", ""Karthik Ramakrishnan"", ""Sharan Sethy""]",CVPR,2018,,1804.02767,https://arxiv.org/abs/1804.02767,Microsoft Research Asia
qwen2.5:3b,ollama,VIS_SOURCES_DET,v2run01,YOLOv3: An Incremental Improvement,"[""Joseph Redmon"", ""Aldo Roy"", ""Shashank Agrawal"", ""Karthik Ramakrishnan"", ""Sharan Sethy""]",CVPR,2018,,1804.02767,https://arxiv.org/abs/1804.02767,Microsoft Research Asia
