model,provider,prompt_id,run_id,rank,institution_raw,justification
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,15,University of Southern California,"USC has a long history in software engineering research, particularly in software process, cost estimation, empirical SE, and software architecture. The CSSE center, historically associated with Barry Boehm, continues to produce relevant SE research."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,1,Carnegie Mellon University,"CMU is widely regarded as the global leader in software engineering research. The SEI (a federally funded R&D center) and ISR produce foundational work in software architecture, formal methods, program analysis, security, and software process. Faculty such as David Garlan, Jonathan Aldrich, and Brad Myers have defined entire subfields. CMU consistently leads in PhD placements and citation impact in SE."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,2,Massachusetts Institute of Technology,"MIT's CSAIL houses world-class researchers in program synthesis, formal verification, programming languages, and software reliability. Work from groups led by figures like Armando Solar-Lezama (program synthesis) and Martin Rinard (program repair, fault tolerance) has had enormous influence on SE research."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,3,"University of California, Berkeley","Berkeley has long been a powerhouse in systems and software research. Contributions to software testing, program analysis, distributed systems software, and programming languages are substantial. Faculty like Koushik Sen (fuzzing, concolic testing) and Dawn Song (software security) are highly influential."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,4,University of Illinois Urbana-Champaign,"UIUC has exceptional depth in program analysis, software testing, formal verification, and programming languages. Faculty including Darko Marinov (software testing, regression testing), Tao Xie, and Vikram Adve have produced highly cited and impactful SE research."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,5,University of Washington,"UW's PLSE group is among the most productive in the country, with strengths in program synthesis, type systems, software correctness, and human aspects of SE. Faculty like Michael Ernst (invariant detection, type systems) and Emina Torlak (solver-aided programming) are field leaders."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,6,Georgia Institute of Technology,"Georgia Tech has strong SE research in automated program repair, software testing, mobile software, and empirical SE. Faculty such as Alessandro Orso (software testing, analysis) and Mary Jean Harrold (before her passing) have been central figures. The school has a large, active SE PhD program."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,7,University of Texas at Austin,"UT Austin is particularly strong in programming languages and formal methods as they intersect with SE, including program synthesis, verification, and software security. Isil Dillig and Işıl Dillig's group on program analysis and synthesis is internationally recognized."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,8,Stanford University,"Stanford contributes significantly to SE through work on software security, program analysis, bug finding, and developer tools. Faculty like Dawson Engler (static analysis, model checking) and Alex Aiken (program analysis) have produced landmark SE research and tools."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,9,"University of California, San Diego","UCSD has notable strength in programming languages, software reliability, and empirical software engineering. Ranjit Jhala's work on liquid types and program verification, and work on software analytics, places UCSD among the top SE research institutions."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,10,Columbia University,"Columbia has strong SE research in software testing, program analysis, concurrency bugs, and software security. Junfeng Yang's work on finding bugs in systems software and Baishakhi Ray's work on AI for software engineering are highly cited."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,11,University of Michigan,"Michigan has productive SE research in automated debugging, program repair, software testing, and empirical SE. Westley Weimer's work on automated program repair (GenProg) is among the most cited in the field. Strong connections between SE and systems research."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,12,Purdue University,"Purdue has consistent output in software security, program analysis, and software reliability. Aniket Kate and Xiangyu Zhang's work on dynamic analysis, provenance, and debugging has been influential. Strong industry connections through the Discovery Park."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,13,University of Southern California,"USC's CSSE has a long tradition in empirical software engineering, software cost modeling (COCOMO), and software process research. Barry Boehm's legacy and ongoing work in software measurement, agile methods, and software economics give USC a distinctive niche."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,14,North Carolina State University,"NC State has a large and productive SE research group with strengths in empirical SE, mining software repositories, software testing, and developer productivity. Tim Menzies's work on AI/ML for SE and Laurie Williams's work on agile and security are well-known."
claude-sonnet-4-6,anthropic,SE_RANK_US_C,run01,15,University of Massachusetts Amherst,"UMass Amherst has notable SE research in program analysis, software testing, and programming languages. Yuriy Brun's work on automated program repair and proactive SE, and work on distributed systems correctness, contributes to a solid SE research profile."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,1,Carnegie Mellon University,"CMU is widely regarded as the top institution for software engineering research globally. The SEI, a federally funded R&D center, pioneered the Capability Maturity Model (CMM/CMMI). ISR faculty have made foundational contributions to software architecture, program analysis, formal methods, and empirical software engineering. CMU consistently produces top-cited SE researchers and PhD graduates who lead the field."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,2,Massachusetts Institute of Technology,"MIT CSAIL has produced landmark work in program synthesis, formal verification, model checking, and software correctness. Researchers such as Armando Solar-Lezama (program synthesis) and work on Alloy (Daniel Jackson) have had lasting influence. MIT's interdisciplinary environment drives high-impact SE research."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,3,"University of California, Berkeley","Berkeley has been central to distributed systems software, programming languages, and software reliability. Contributions include work on testing, verification, and systems software. Faculty like Dawn Song (security and program analysis) and others have shaped modern SE practice. Berkeley's influence on open-source software ecosystems is unmatched."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,4,University of Illinois Urbana-Champaign,"UIUC has a long tradition of excellence in compilers, program analysis, and software testing. Contributions include LLVM-related research, symbolic execution tools, and automated bug detection. Faculty such as Darko Marinov (software testing) and Tao Xie (empirical SE) have been highly influential."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,5,Stanford University,"Stanford has made major contributions to program analysis, software security, and AI-assisted software engineering. Work on static analysis tools (e.g., related to Coverity's academic origins), formal verification, and more recently LLM-based code generation has kept Stanford at the forefront of SE research."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,6,University of Washington,"UW's PLSE group is among the most active and cited in the world for programming languages and software engineering. Faculty including Michael Ernst (invariant detection, Daikon), Emina Torlak (Rosette, solver-aided languages), and René Just (mutation testing) have produced widely adopted tools and methods."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,7,Georgia Institute of Technology,"Georgia Tech has strong programs in software testing, program repair, and empirical software engineering. Faculty such as Alessandro Orso (program analysis and testing) and Myra Cohen have contributed heavily to testing research. Georgia Tech also has strong industry partnerships that amplify research impact."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,8,University of Texas at Austin,"UT Austin is known for foundational work in programming languages and formal methods with direct SE implications. Isil Dillig's work on program analysis and verification, and Işıl Dillig's group on automated reasoning, are highly cited. The department has produced influential tools and theoretical frameworks."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,9,Columbia University,"Columbia has contributed significantly to software testing, program analysis, and software reliability. Junfeng Yang's work on finding bugs in systems software and Baishakhi Ray's work on AI for software engineering are notable. Columbia's location in New York also facilitates strong industry collaboration."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,10,"University of California, San Diego","UCSD has made important contributions to program analysis, software security, and programming languages. Ranjit Jhala's work on liquid types and software verification has been widely influential. The department has a strong record at top SE and PL venues."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,11,Purdue University,"Purdue has a strong tradition in software security, program analysis, and software engineering education research. CERIAS is one of the leading cybersecurity research centers, with significant overlap in secure software engineering. Faculty have contributed to vulnerability analysis and software hardening."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,12,University of Michigan,"Michigan has produced influential work in software testing, program repair, and empirical software engineering. Westley Weimer's work on automated program repair (GenProg) is among the most cited in the field. The department has a strong presence at ICSE, FSE, and ASE."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,13,University of Southern California,"USC's CSSE, historically associated with Barry Boehm's work on software cost estimation (COCOMO) and software process, has been a major contributor to empirical software engineering and software project management research. USC has a long legacy in SE research spanning decades."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,14,North Carolina State University,"NC State has a highly productive SE research group with strong output in mining software repositories, software analytics, and empirical SE. Tim Menzies's work on AI/ML applied to software engineering and Laurie Williams's work on agile and security have been widely cited."
claude-sonnet-4-6,anthropic,SE_RANK_US,run01,15,"University of California, Irvine","UCI's ISR has a long history in software architecture, software processes, and collaborative software engineering. Richard Taylor and David Redmiles have contributed foundational work on software architecture and coordination. UCI's ISR is one of the oldest dedicated software research institutes in the US."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,1,Carnegie Mellon University,"CMU has arguably the largest and most prolific computer vision research community in the world. Faculty such as Deva Ramanan, Abhinav Gupta, Martial Hebert, Ishan Misra, and many others produce top-tier publications at CVPR, ICCV, and ECCV consistently. The Robotics Institute provides deep infrastructure and cross-disciplinary strength."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,2,Stanford University,"Home to Fei-Fei Li (creator of ImageNet), Silvio Savarese, Juan Carlos Niebles, and others. Stanford's influence on the field through ImageNet, scene understanding, and embodied AI is foundational. Consistent top-tier publication record and strong industry connections."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,3,Massachusetts Institute of Technology,"Faculty including Antonio Torralba, Phillip Isola, William Freeman, and Josh Tenenbaum contribute heavily to vision, generative models, and visual cognition. MIT CSAIL is one of the most productive AI labs globally."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,4,"University of California, Berkeley","BAIR houses vision researchers such as Trevor Darrell, Alexei Efros, Jitendra Malik, and Angjoo Kanazawa. Seminal contributions to deep learning for vision, image synthesis, and 3D understanding. Extremely high citation impact."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,5,University of Michigan,"Jia Deng (creator of ImageNet alongside Li), Andrew Owens, David Fouhey, and Jason Corso are among strong vision faculty. Michigan has risen significantly in vision output and impact over the past decade."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,6,Georgia Institute of Technology,"Faculty including Dhruv Batra, Devi Parikh (now partly at Meta), James Hays, and Judy Hoffman have made Georgia Tech a top vision institution, particularly in visual question answering, embodied AI, and domain adaptation."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,7,"University of California, Los Angeles","Song-Chun Zhu (now at PKU but built the lab), Stefano Soatto, Alan Yuille (now at JHU), and newer faculty have maintained UCLA as a strong vision center with contributions to generative models, scene understanding, and cognitive vision."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,8,Cornell University,"Serge Belongie, Bharath Hariharan, Kilian Weinberger, and Noah Snavely (now at Google but affiliated) have contributed strongly to recognition, few-shot learning, and 3D vision. Cornell Tech in NYC adds additional research momentum."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,9,University of Illinois Urbana-Champaign,"David Forsyth, Svetlana Lazebnik, Alexander Schwing, and Shenlong Wang contribute to a broad vision program. UIUC has a long history in computer vision and maintains strong publication output."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,10,Johns Hopkins University,"Alan Yuille, René Vidal, and Gregory Hager lead strong programs in vision, medical imaging, and deep learning theory. JHU has particular strength in biological and medical vision applications."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,11,Princeton University,"Olga Russakovsky (co-creator of ImageNet large-scale challenge), Jia Deng (moved to Michigan), Felix Heide, and Ryan Adams contribute to fairness in vision, computational imaging, and probabilistic methods. Strong and growing program."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,12,University of Washington,"Steve Seitz, Ira Kemelmacher-Shlizerman, Ali Farhadi (now at Apple/UW), and Ranjay Krishna contribute to 3D reconstruction, face modeling, and vision-language. Strong ties to the Allen Institute for AI amplify impact."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,13,New York University,"Yann LeCun (Chief AI Scientist at Meta, professor at NYU) and Rob Fergus have deep roots here. Lerrel Pinto and other faculty continue strong vision and robotics work. NYU's influence on deep learning for vision is historically enormous."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,14,University of Texas at Austin,"Kristen Grauman (now partly at Meta AI), Philipp Krähenbühl, and Qixing Huang contribute to video understanding, 3D vision, and egocentric vision. UT Austin has a growing and impactful vision program."
claude-sonnet-4-6,anthropic,VIS_RANK_US_B,run01,15,Columbia University,"Shree Nayar's long-running CAVE lab has produced foundational work in computational photography and reflectance. Peter Belhumeur and newer faculty maintain Columbia's presence in vision, though the program is somewhat smaller than peers."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,1,Carnegie Mellon University,"Consistently regarded as the top program for computer vision in the US. Home to landmark researchers including Deva Ramanan, Martial Hebert, Abhinav Gupta, and Ishan Misra (affiliated). The Robotics Institute has produced foundational work in object detection, pose estimation, video understanding, and embodied AI. Enormous faculty depth and PhD output."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,2,Massachusetts Institute of Technology,"Home to Antonio Torralba, Phillip Isola, William Freeman (emeritus), and others. Pioneering contributions to scene understanding, image synthesis (pix2pix), dataset creation (Places, ADE20K), and computational photography. Strong ties to industry labs amplify research impact."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,3,Stanford University,"Fei-Fei Li's group created ImageNet, which transformed the field. Current faculty include Jiajun Wu, Silvio Savarese, and Juan Carlos Niebles. Strong in 3D vision, scene graphs, embodied AI, and vision-language models. Exceptional industry connections in Silicon Valley."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,4,"University of California, Berkeley","Jitendra Malik (foundational figure in vision), Alexei Efros (image synthesis, texture), Trevor Darrell, and Angjoo Kanazawa are among the faculty. Contributions span optical flow, segmentation, generative models, and neural radiance fields. BAIR is one of the most productive AI research groups in the world."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,5,University of Washington,"Ali Farhadi (YOLO co-creator, now at Apple/UW), Ira Kemelmacher-Shlizerman, Steve Seitz, and Dieter Fox have built a world-class vision program. Strong in real-time detection, face reconstruction, 3D scene understanding, and robotics-vision integration."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,6,Georgia Institute of Technology,"James Rehg, Dhruv Batra (now at Meta/GT), Devi Parikh (now at Meta/GT), and Zsolt Kira are key figures. Strong in visual question answering, embodied AI, activity recognition, and vision-language research. Consistently high CVPR/ICCV/ECCV publication counts."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,7,University of Michigan,"Jason Corso, David Fouhey, Andrew Owens, and Justin Johnson (vision-language, PyTorch contributor) anchor a strong program. Contributions to video understanding, 3D reconstruction, and multimodal learning. Johnson's work on visual reasoning datasets (CLEVR) has been highly influential."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,8,Cornell University,"Serge Belongie, Bharath Hariharan, and Kilian Weinberger contribute to recognition, few-shot learning, and metric learning. Cornell Tech in NYC adds a strong applied research dimension. Solid publication record at top venues."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,9,University of Illinois Urbana-Champaign,"David Forsyth, Svetlana Lazebnik, and Alexander Schwing lead vision research. Historical depth in object recognition and image segmentation. Strong graduate program with consistent presence at CVPR and ICCV."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,10,Princeton University,"Olga Russakovsky (ImageNet co-creator, fairness in vision), Felix Heide (computational imaging), and Ryan Adams contribute to a growing and high-impact program. Russakovsky's work on dataset bias and inclusive AI has been particularly influential."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,11,"University of California, Los Angeles","Song-Chun Zhu (now at PKU but built the program), Stefano Soatto, and Alan Yuille (now at Johns Hopkins) established a strong tradition. Current faculty continue work in generative models, 3D understanding, and cognitive vision. Strong industry ties in the LA tech ecosystem."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,12,Johns Hopkins University,"Alan Yuille, René Vidal, and Gregory Hager lead research in object recognition, adversarial robustness, medical image analysis, and motion understanding. JHU has a long tradition in mathematical foundations of vision and is particularly strong in medical imaging applications."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,13,New York University,"Yann LeCun (convolutional neural networks pioneer, now primarily at Meta but affiliated), Rob Fergus, and Kyunghyun Cho contribute to a strong program. The Center for Data Science bridges vision and deep learning. LeCun's foundational influence on the entire field is unmatched."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,14,"University of Maryland, College Park","Larry Davis, Rama Chellappa, and Abhinav Shrivastava lead one of the oldest and most established vision labs in the country. Long history of contributions to face recognition, action recognition, and domain adaptation. UMIACS provides strong institutional support."
claude-sonnet-4-6,anthropic,VIS_RANK_US_C,run01,15,University of Texas at Austin,"Kristen Grauman (now primarily at Meta/FAIR but UT-affiliated), Philipp Krähenbühl, and Qixing Huang contribute to video understanding, first-person vision, 3D shape analysis, and efficient detection. Growing program with increasing publication impact."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,1,Carnegie Mellon University,"CMU's Robotics Institute has been a foundational force in computer vision for decades. Researchers such as Takeo Kanade, Martial Hebert, Deva Ramanan, and Abhinav Gupta have produced seminal work in object detection, scene understanding, optical flow, and 3D reconstruction. CMU consistently ranks among the top producers of computer vision PhDs and top-cited vision papers."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,2,Stanford University,"Stanford has been central to the deep learning revolution in vision. Fei-Fei Li created ImageNet, which transformed the field. Researchers including Andrej Karpathy, Justin Johnson, and Silvio Savarese have produced highly influential work on image classification, visual question answering, and embodied AI. SAIL and SVL remain top-tier research environments."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,3,Massachusetts Institute of Technology,"MIT has a long history in computer vision dating to the 1960s. Antonio Torralba, William Freeman, Phillip Isola, and others have produced landmark work in scene recognition, generative models (pix2pix, GAN-based methods), and computational photography. MIT CSAIL is one of the largest and most productive AI/vision research labs in the world."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,4,"University of California, Berkeley","BAIR houses numerous top vision researchers including Trevor Darrell, Jitendra Malik, Alexei Efros, and Angjoo Kanazawa. Contributions include deformable part models, contrastive learning, neural radiance fields (NeRF co-developed here), and generative image synthesis. Berkeley is consistently among the most cited institutions in computer vision."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,5,University of Washington,"UW has produced highly influential vision research through faculty such as Ali Farhadi, Dieter Fox, Steve Seitz, and Ira Kemelmacher-Shlizerman. Key contributions include YOLO (object detection), structure from motion, face reconstruction, and vision-language models. UW is a top destination for vision PhD students."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,6,University of Michigan,"Michigan has strong vision faculty including Jia Deng (who created ImageNet alongside Li), Andrew Owens, David Fouhey, and Jason Corso. Contributions span image recognition benchmarks, self-supervised learning, and video understanding. Michigan is a consistent top-10 producer of vision research."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,7,Georgia Institute of Technology,"Georgia Tech has prominent vision researchers including Devi Parikh, Dhruv Batra, James Hays, and Irfan Essa. Work on visual question answering, embodied AI, image geolocalization, and video analysis has been highly cited. The institute has strong ties to industry research labs."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,8,Cornell University,"Cornell has contributed significantly through researchers such as Kilian Weinberger, Noah Snavely (3D reconstruction, photo tourism), and Serge Belongie. Work on metric learning, large-scale 3D scene reconstruction, and fine-grained recognition has been influential. Cornell Tech in NYC also bridges academic and applied vision research."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,9,University of Illinois Urbana-Champaign,"UIUC has a strong vision tradition with researchers including David Forsyth, Derek Hoiem, Alexander Schwing, and Svetlana Lazebnik. Contributions include object recognition, scene understanding, and probabilistic graphical models for vision. UIUC has historically been a top-five vision program."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,10,Princeton University,"Princeton hosts influential researchers including Jianxiong Xiao (SUN database), Olga Russakovsky (ImageNet Large Scale Visual Recognition Challenge leadership), and Ryan Adams. Contributions to large-scale benchmarks, 3D scene understanding, and human-in-the-loop learning have been widely recognized."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,11,"University of California, Los Angeles","UCLA's vision research is anchored by Song-Chun Zhu and Alan Yuille, with contributions to compositional models, Bayesian vision, and adversarial robustness. The VCLA group bridges cognitive science and computer vision in distinctive ways."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,12,Columbia University,"Columbia's CAVE lab, led by Shree Nayar, has produced foundational work in computational imaging, reflectance modeling, and novel camera designs. Peter Belhumeur and other faculty have contributed to face recognition and biometrics. Columbia has a long and distinguished vision history."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,13,University of Texas at Austin,"UT Austin has strong vision researchers including Kristen Grauman, whose work on visual similarity, video understanding, and egocentric vision has been highly influential. Philipp Krähenbühl and Qixing Huang also contribute to detection and 3D vision. Grauman's move to Meta AI has not diminished UT's standing."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,14,Ohio State University,"OSU has a well-established vision program with researchers including Yusu Wang and earlier contributions from Aleix Martinez and Arnab Bhattacharya. The lab has produced solid work in face analysis, action recognition, and medical image analysis, maintaining a consistent presence at top vision venues."
claude-sonnet-4-6,anthropic,VIS_RANK_US,run01,15,"University of California, San Diego","UCSD hosts influential vision researchers including Ravi Ramamoorthi (rendering and reflectance), Manmohan Chandraker, and Xiaolong Wang. Contributions to neural rendering, self-supervised learning, and robotic perception have grown in prominence in recent years."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,1,Carnegie Mellon University,"Consistently ranks #1 in objective metrics like CSRankings for software engineering. CMU has a massive, dedicated institute producing foundational research in software architecture, program analysis, and self-adaptive systems."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,2,University of Washington,"Highly influential in software testing, verification, and program analysis, with a strong track record of top-tier publications at ICSE, FSE, and ISSTA."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,3,University of Illinois Urbana-Champaign,"Renowned for pioneering work in automated debugging, software testing, refactoring, and empirical software engineering."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,4,Georgia Institute of Technology,"Maintains a very strong presence in software analysis, testing, maintenance, and program comprehension, consistently publishing at the highest volume in top SE venues."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,5,University of Texas at Austin,"Leads in formal methods, automated software testing, and the analysis of mobile and concurrent applications."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,6,Purdue University,"Has an excellent track record in program analysis, software security, and software engineering, with highly cited faculty in the SE community."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,7,"University of California, Berkeley","Produces high-impact research in program synthesis, verification, and systems software, often bridging the gap between SE, AI, and systems."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,8,Massachusetts Institute of Technology,"Produces foundational and highly cited work in software design, program analysis, and synthesis, though their focus often leans heavily into programming languages."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,9,North Carolina State University,"Boasts one of the largest software engineering faculties in the US, highly active in empirical software engineering, mining software repositories, and software security."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,10,"University of California, Davis","Strong contributions to empirical software engineering, software quality, and the analysis of open-source software ecosystems."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,11,"University of California, Irvine","Has historic and ongoing strength in software architecture, software engineering environments, and human aspects of software engineering."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,12,University of Michigan,"Conducts innovative research in software engineering for AI, medical devices, autonomous systems, and software testing."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,13,University of Southern California,"A pioneer in software cost estimation (e.g., COCOMO) and empirical software engineering, maintaining strong ties with the aerospace and defense software industries."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,14,"University of Maryland, College Park","Strong in empirical software engineering, software security, and the intersection of human-computer interaction and software development."
gemini-3.1-pro-preview,gemini,SE_RANK_US_B,run01,15,Stanford University,"While often more focused on AI and systems, Stanford produces highly influential research in program analysis, bug finding, and software systems."
gemini-3.1-pro-preview,gemini,SE_RANK_US_C,run01,1,Carnegie Mellon University,"Consistently ranked at the top for software engineering research, CMU houses pioneers in software architecture, formal methods, and empirical software engineering."
gemini-3.1-pro-preview,gemini,SE_RANK_US_C,run01,2,University of Washington,"Highly influential in software testing, program analysis, and the human-computer interaction aspects of software engineering."
gemini-3.1-pro-preview,gemini,SE_RANK_US_C,run01,3,University of Illinois Urbana-Champaign,"Produces a massive volume of top-tier research with a strong focus on software testing, refactoring, and automated program repair."
